Sample.Name,ID,Continent,Country,Region,Strain,Collection,Latitude,Longitude,Year.of.Collection,Pot.Field,Host,Status_world,Status_ext_eur,Status_recent_ext_eur,Mating.type,fs_level_1,fs_level_2,fs_level_3,fs_level_4,fs_level_5,fs_level_6,fs_level_7,fs_level_8,fs_level_9,fs_level_10,anc1,anc2,anc3,anc4,anc5,anc6,anc7,anc8,anc9
CHE_7004,SRR2153097,Europe,Switzerland,Switzerland,tritici,Before 2022,47.42886,8.515962,2007,,,Included,Included,Excluded,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05,1E-05,1E-05
CHE_96229,SRR11548205,Europe,Switzerland,Switzerland,tritici,Before 2022,47.53277778,8.85972222,1996,,,Included,Included,Excluded,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1E-05,1E-05,1E-05,1E-05,0.023952,0.843582,1E-05,0.12761,0.004806
CHE_96249,SRR11548204,Europe,Switzerland,Switzerland,tritici,Before 2022,46.54777778,6.41527778,1996,,,Included,Included,Excluded,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.061127,1E-05,1E-05,1E-05,1E-05,0.861629,0.076515,1E-05,0.000679
CHE_97223,SRR11548203,Europe,Switzerland,Switzerland,tritici,Before 2022,47.06694444,7.24916667,1997,,,Included,Included,Excluded,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,0.056795,1E-05,1E-05,1E-05,0.006534,0.919436,1.7E-05,1E-05,0.017178
CHE_97266,SRR11548201,Europe,Switzerland,Switzerland,tritici,Before 2022,46.84166667,6.96638889,1997,,,Included,Included,Excluded,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old+,0.169892,1E-05,1E-05,1E-05,1E-05,0.660499,0.169548,1E-05,1E-05
CHE_98013,SRR11548200,Europe,Switzerland,Switzerland,tritici,Before 2022,46.383333,6.233333,1998,,,Included,Included,Excluded,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1E-05,1E-05,0.026279,1E-05,1E-05,0.973651,1E-05,1E-05,1E-05
CHE_98230,SRR11548199,Europe,Switzerland,Switzerland,tritici,Before 2022,47.216667,8.241944,1998,,,Included,Included,Excluded,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1E-05,1E-05,1E-05,0.001199,1E-05,0.998731,1E-05,1E-05,1E-05
CHE_98250,SRR11548198,Europe,Switzerland,Switzerland,tritici,Before 2022,47.216667,8.241944,1998,,,Included,Included,Excluded,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR_old,N_EUR_old,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05,1E-05,1E-05
CHN_1-19,SRR7299467,Asia,China,China: Sichuan,tritici,Before 2022,31.468,104.679,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.038807,1E-05,1E-05,0.12272,1E-05,1E-05,0.838412
CHN_1-25,SRR4042182,Asia,China,China: Sichuan,tritici,Before 2022,31.468,104.679,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_1-62,SRR7299469,Asia,China,China: Sichuan,tritici,Before 2022,31.468,104.679,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_10-8,SRR4042203,Asia,China,China: Yunan,tritici,Before 2022,25.043333,102.706111,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.007223,1E-05,1E-05,1E-05,1E-05,1E-05,0.992707
CHN_11-133,SRR7299471,Asia,China,China: Hubei,tritici,Before 2022,32.017,112.133,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_11-99,SRR7299473,Asia,China,China: Hubei,tritici,Before 2022,32.017,112.133,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.028635,1E-05,1E-05,1E-05,1E-05,1E-05,0.971295
CHN_12-3,SRR7299465,Asia,China,China: Guizhou,tritici,Before 2022,25.092,104.895,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.034744,0.000243,1E-05,0.025353,1E-05,1E-05,0.93961
CHN_12-50,SRR4042184,Asia,China,China: Guizhou,tritici,Before 2022,25.092,104.895,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.034555,0.004826,1E-05,0.045583,1E-05,1E-05,0.914985
CHN_12-82,SRR7299466,Asia,China,China: Guizhou,tritici,Before 2022,25.092,104.895,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.045106,1E-05,1E-05,0.015823,1E-05,1E-05,0.939012
CHN_13-37,SRR7299523,Asia,China,China: Guizhou,tritici,Before 2022,26.249,105.935,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_13-51,SRR7299525,Asia,China,China: Guizhou,tritici,Before 2022,26.249,105.935,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_13-76,SRR7299526,Asia,China,China: Guizhou,tritici,Before 2022,26.249,105.935,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_15-17,SRR7299522,Asia,China,China: Henan,tritici,Before 2022,35.243056,113.223056,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,2E-05,1E-05,1E-05,1E-05,1E-05,0.99991
CHN_15-9,SRR4042196,Asia,China,China,tritici,Before 2022,35.243056,113.223056,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_17-18,SRR7299517,Asia,China,China: Anhui,tritici,Before 2022,32.89,115.814,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,0.018861,1E-05,0.00716,1E-05,1E-05,0.766146,1E-05,0.207782
CHN_17-40,SRR4042186,Asia,China,China: Anhui,tritici,Before 2022,32.89,115.814,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_18-11,SRR7299484,Asia,China,China: Henan,tritici,Before 2022,34.415,115.656,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.035392,1E-05,1E-05,0.133131,1E-05,1E-05,0.831418
CHN_19-11,SRR7299485,Asia,China,China: Jiangsu,tritici,Before 2022,32.4,119.416667,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_2-25,SRR4042183,Asia,China,China: Sichuan,tritici,Before 2022,31.643,105.171,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.028033,1E-05,1E-05,0.271413,1E-05,1E-05,0.700494
CHN_2-5,SRR7299487,Asia,China,China: Sichuan,tritici,Before 2022,31.643,105.171,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.021256,1E-05,1E-05,1E-05,1E-05,1E-05,0.978674
CHN_2-65,SRR7299490,Asia,China,China: Sichuan,tritici,Before 2022,31.643,105.171,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.019506,1E-05,1E-05,0.199458,1E-05,1E-05,0.780976
CHN_21-1,SRR7299489,Asia,China,China: Jiangsu,tritici,Before 2022,32.4,119.416667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_21-2,SRR7299480,Asia,China,China: Jiangsu,tritici,Before 2022,33.383333,120.116667,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1.8E-05,1E-05,1E-05,1E-05,1E-05,0.999912
CHN_21-8,SRR7299479,Asia,China,China: Jiangsu,tritici,Before 2022,32.4,119.416667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.07899,1.1E-05,1E-05,1E-05,1E-05,0.920939
CHN_28-9,SRR7299512,Asia,China,China: Anhui,tritici,Before 2022,33.648,116.964,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_3-53,SRR4042199,Asia,China,China: Sichuan,tritici,Before 2022,31.208,105.389,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_35-1,SRR7299507,Asia,China,China: Hebei,tritici,Before 2022,38.866667,115.466667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.025828,1E-05,1E-05,1E-05,1E-05,0.974102
CHN_36-3,SRR7299502,Asia,China,China: Hebei,tritici,Before 2022,38.516,114.99,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.020252,0.019589,1E-05,1E-05,1E-05,1E-05,0.960099
CHN_36-70,SRR4042191,Asia,China,China: Hebei,tritici,Before 2022,38.516,114.99,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.043145,1E-05,1E-05,1E-05,1E-05,0.956785
