Sample.Name,ID,Continent,Country,Region,Strain,Collection,Latitude,Longitude,Year.of.Collection,Pot.Field,Host,Status_world,Status_ext_eur,Status_recent_ext_eur,fs_level1,fs_level2,fs_level3,fs_level4,fs_level5,fs_level6,fs_level7,fs_level8,anc1,anc2,anc3,anc4,anc5,anc6,anc7,Mating.type
CHE_98013,SRR11548200,Europe,Switzerland,Switzerland,tritici,Before 2022,46.383333,6.233333,1998,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe2,old_Europe2,0.974436,1E-05,0.025514,1E-05,1E-05,1E-05,1E-05,1_2_1
CHE_98230,SRR11548199,Europe,Switzerland,Switzerland,tritici,Before 2022,47.216667,8.241944,1998,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe2,old_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHE_98250,SRR11548198,Europe,Switzerland,Switzerland,tritici,Before 2022,47.216667,8.241944,1998,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe2,old_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHN_1-19,SRR7299467,Asia,China,China: Sichuan,tritici,Before 2022,31.468,104.679,2011,,,Included,Excluded,Excluded,,,,,,,,,0.144583,1E-05,0.026797,1E-05,1E-05,0.82858,1E-05,1_2_1
CHN_1-25,SRR4042182,Asia,China,China: Sichuan,tritici,Before 2022,31.468,104.679,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_1-62,SRR7299469,Asia,China,China: Sichuan,tritici,Before 2022,31.468,104.679,2011,,,Included,Excluded,Excluded,,,,,,,,,1.2E-05,1E-05,1E-05,1E-05,1E-05,0.999938,1E-05,1_2_1
CHN_10-8,SRR4042203,Asia,China,China: Yunan,tritici,Before 2022,25.043333,102.706111,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.003498,1E-05,1E-05,0.996452,1E-05,1_2_1
CHN_11-133,SRR7299471,Asia,China,China: Hubei,tritici,Before 2022,32.017,112.133,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_11-99,SRR7299473,Asia,China,China: Hubei,tritici,Before 2022,32.017,112.133,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.03028,1E-05,1E-05,0.96967,1E-05,1_2_1
CHN_12-3,SRR7299465,Asia,China,China: Guizhou,tritici,Before 2022,25.092,104.895,2011,,,Included,Excluded,Excluded,,,,,,,,,0.029575,1E-05,0.023058,1E-05,1E-05,0.947327,1E-05,1_1_3
CHN_12-50,SRR4042184,Asia,China,China: Guizhou,tritici,Before 2022,25.092,104.895,2011,,,Included,Excluded,Excluded,,,,,,,,,0.049691,1E-05,0.022763,1E-05,1E-05,0.927506,1E-05,1_1_3
CHN_12-82,SRR7299466,Asia,China,China: Guizhou,tritici,Before 2022,25.092,104.895,2011,,,Included,Excluded,Excluded,,,,,,,,,0.039588,1E-05,0.032017,1E-05,1E-05,0.928354,1E-05,1_2_1
CHN_13-37,SRR7299523,Asia,China,China: Guizhou,tritici,Before 2022,26.249,105.935,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_13-51,SRR7299525,Asia,China,China: Guizhou,tritici,Before 2022,26.249,105.935,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_13-76,SRR7299526,Asia,China,China: Guizhou,tritici,Before 2022,26.249,105.935,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_15-17,SRR7299522,Asia,China,China: Henan,tritici,Before 2022,35.243056,113.223056,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_15-9,SRR4042196,Asia,China,China,tritici,Before 2022,35.243056,113.223056,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_17-18,SRR7299517,Asia,China,China: Anhui,tritici,Before 2022,32.89,115.814,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,0.018731,0.760163,0.221066,1E-05,1_2_1
CHN_17-40,SRR4042186,Asia,China,China: Anhui,tritici,Before 2022,32.89,115.814,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_18-11,SRR7299484,Asia,China,China: Henan,tritici,Before 2022,34.415,115.656,2011,,,Included,Excluded,Excluded,,,,,,,,,0.149719,1E-05,0.02734,1E-05,1E-05,0.822901,1E-05,1_2_1
CHN_19-11,SRR7299485,Asia,China,China: Jiangsu,tritici,Before 2022,32.4,119.416667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1.6E-05,1E-05,0.999934,1E-05,1_1_3
CHN_2-25,SRR4042183,Asia,China,China: Sichuan,tritici,Before 2022,31.643,105.171,2011,,,Included,Excluded,Excluded,,,,,,,,,0.297656,1E-05,0.018212,1E-05,1E-05,0.684092,1E-05,1_2_1
CHN_2-5,SRR7299487,Asia,China,China: Sichuan,tritici,Before 2022,31.643,105.171,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.017633,1E-05,1E-05,0.982317,1E-05,1_2_1
CHN_2-65,SRR7299490,Asia,China,China: Sichuan,tritici,Before 2022,31.643,105.171,2011,,,Included,Excluded,Excluded,,,,,,,,,0.224861,1E-05,0.007508,1E-05,1E-05,0.767591,1E-05,1_2_1
CHN_21-1,SRR7299489,Asia,China,China: Jiangsu,tritici,Before 2022,32.4,119.416667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_21-2,SRR7299480,Asia,China,China: Jiangsu,tritici,Before 2022,33.383333,120.116667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_21-8,SRR7299479,Asia,China,China: Jiangsu,tritici,Before 2022,32.4,119.416667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_28-9,SRR7299512,Asia,China,China: Anhui,tritici,Before 2022,33.648,116.964,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_3-53,SRR4042199,Asia,China,China: Sichuan,tritici,Before 2022,31.208,105.389,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_35-1,SRR7299507,Asia,China,China: Hebei,tritici,Before 2022,38.866667,115.466667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_36-3,SRR7299502,Asia,China,China: Hebei,tritici,Before 2022,38.516,114.99,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.018787,1E-05,1E-05,0.981163,1E-05,1_1_3
CHN_36-70,SRR4042191,Asia,China,China: Hebei,tritici,Before 2022,38.516,114.99,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_37-34,SRR7299516,Asia,China,China: Hebei,tritici,Before 2022,38.066667,114.483333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_37-38,SRR7299505,Asia,China,China: Hebei,tritici,Before 2022,38.066667,114.483333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.015305,1E-05,1E-05,0.984645,1E-05,1_2_1
CHN_39-1,SRR7299504,Asia,China,China: Hebei,tritici,Before 2022,36.6,114.483333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.007297,1E-05,1E-05,0.992653,1E-05,1_2_1
CHN_39-19,SRR7299503,Asia,China,China: Hebei,tritici,Before 2022,36.6,114.483333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_39-5,SRR7299497,Asia,China,China: Hebei,tritici,Before 2022,36.6,114.483333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_40-2,SRR7299501,Asia,China,China: Shandong,tritici,Before 2022,36.666667,116.983333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_45-10,SRR4042188,Asia,China,China: Gansu,tritici,Before 2022,34.765556,105.291667,2011,,,Included,Excluded,Excluded,,,,,,,,,0.236524,1E-05,0.025213,1E-05,1E-05,0.738223,1E-05,1_1_3
CHN_45-6,SRR4042192,Asia,China,China: Anhui,tritici,Before 2022,34.765556,105.291667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.006367,1E-05,1E-05,0.993583,1E-05,1_2_1
CHN_46-30,SRR4042194,Asia,China,China: Gansu,tritici,Before 2022,34.765556,105.291667,2011,,,Included,Excluded,Excluded,,,,,,,,,0.196993,1E-05,0.017845,1E-05,1E-05,0.785122,1E-05,1_1_3
CHN_47-1,SRR7299498,Asia,China,China: Gansu,tritici,Before 2022,32.916667,104.766667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_47-3,SRR4042193,Asia,China,China: Ganzu,tritici,Before 2022,32.916667,104.766667,2011,,,Included,Excluded,Excluded,,,,,,,,,0.2125,1E-05,0.01543,1E-05,1E-05,0.77203,1E-05,1_2_1
CHN_49-1,SRR7299459,Asia,China,China: Xinjiang,tritici,Before 2022,43.916667,81.316667,2011,,,Included,Excluded,Excluded,,,,,,,,,0.101362,1E-05,0.036314,1E-05,1E-05,0.862285,1E-05,1_2_1
CHN_5-112,SRR7299460,Asia,China,China: Shanxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,0.706658,0.293292,1E-05,1_1_3
CHN_5-36,SRR7299461,Asia,China,China: Shanxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.011625,1E-05,1E-05,0.988325,1E-05,1_2_1
CHN_5-83,SRR4042200,Asia,China,China: Shannxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,,,,,,,,,0.098586,1E-05,0.0122,1E-05,1E-05,0.889174,1E-05,1_2_1
CHN_5-93,SRR7299462,Asia,China,China: Shanxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_50-2,SRR7299463,Asia,China,China: Xinjiang,tritici,Before 2022,43.916667,81.316667,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.000305,1E-05,1E-05,0.999645,1E-05,1_1_3
CHN_51-3,SRR7299464,Asia,China,China: Xinjiang,tritici,Before 2022,43.451111,83.147778,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_6-6,SRR7299450,Asia,China,China: Shannxi,tritici,Before 2022,34.411389,107.699722,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_6-69,SRR4042201,Asia,China,China: Shannxi,tritici,Before 2022,34.411389,107.699722,2011,,,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_2_1
CHN_7-8,SRR4042202,Asia,China,China: Shannxi,tritici,Before 2022,34.158,108.214,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_9-2,SRR7299478,Asia,China,China: Yunnan,tritici,Before 2022,24.45,98.6,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_E21,SRR7299492,Asia,China,China: Beijing,tritici,Before 2022,39.916667,116.383333,2011,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_1_3
CHN_GZ-10,SRR7299491,Asia,China,China: Guizhou,tritici,Before 2022,26.65,106.633333,2013,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,0.99994,1E-05,1_2_1
CHN_GZ-6,SRR7299493,Asia,China,China: Guizhou,tritici,Before 2022,26.65,106.633333,2013,,,Included,Excluded,Excluded,,,,,,,,,0.149229,1E-05,0.025323,1E-05,1E-05,0.825408,1E-05,1_2_1
CHN_HB-13,SRR7299508,Asia,China,China: Hubei,tritici,Before 2022,32.017,112.133,2013,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.00636,1E-05,1E-05,0.99359,1E-05,1_1_3
CHN_HB-21,SRR7299482,Asia,China,China: Hubei,tritici,Before 2022,32.133333,112.75,2013,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,0.009076,1E-05,1E-05,0.990874,1E-05,1_2_1
CHN_HB-22,SRR7299455,Asia,China,China: Hubei,tritici,Before 2022,32.264,111.653,2013,,,Included,Excluded,Excluded,,,,,,,,,0.038144,1E-05,0.015244,1E-05,1E-05,0.946572,1E-05,1_1_3
CHN_HB-24,SRR7299456,Asia,China,China: Hubei,tritici,Before 2022,32.264,111.653,2013,,,Included,Excluded,Excluded,,,,,,,,,0.179789,1E-05,0.027262,1E-05,1E-05,0.792908,1E-05,1_2_1
CHN_HG-1,SRR7299454,Asia,China,China: Hubei,tritici,Before 2022,30.45,114.8,2013,,,Included,Excluded,Excluded,,,,,,,,,1E-05,1E-05,1.1E-05,1E-05,1E-05,0.999939,1E-05,1_2_1
CHN_SC-12,SRR7299452,Asia,China,China: Sichuan,tritici,Before 2022,30.657,104.066,2013,,,Included,Excluded,Excluded,,,,,,,,,0.237375,1E-05,0.009093,1E-05,1E-05,0.753492,1E-05,1_1_3
CHN_SD-3,SRR7299475,Asia,China,China: Shandong,tritici,Before 2022,36.2004,117.087,2013,,,Included,Excluded,Excluded,,,,,,,,,1.8E-05,1E-05,1E-05,1E-05,1E-05,0.999932,1E-05,1_1_3
CHN_SD-5,SRR4042190,Asia,China,China: Shandong,tritici,Before 2022,36.2004,117.087,2013,,,Included,Excluded,Excluded,,,,,,,,,0.016422,1E-05,0.025164,1E-05,1E-05,0.958374,1E-05,1_1_3
CHNY072301,CHNY072301,Europe,Switzerland,Nyon,tritici,2023,46.39858333,6.23344444,2023,Field,,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.985014,0.014936,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHST042201,CHST042201,Europe,Switzerland,Stäfa,tritici,2022,47.236404,8.734663,2022,Pot,6n,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.977802,0.022148,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHST042202,CHST042202,Europe,Switzerland,Stäfa,tritici,2022,47.236404,8.734663,2022,Pot,6n,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_1_3
CHST042203,CHST042203,Europe,Switzerland,Stäfa,triticale,2022,47.236404,8.734663,2022,Pot,Triticale,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_2_1
CHTG062201,CHTG062201,Europe,Switzerland,Thurgau,tritici,2022,47.55395789,9.226681129,2022,Pot,4n,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHVD042201,CHVD042201,Europe,Switzerland,Begnins Vaud,tritici,2022,46.45,6.25,2022,Field,,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHZR022201,CHZR022201,Europe,Switzerland,Zurich,tritici,2022,47.356058,8.59774,2022,Pot,6n,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe1,0.915221,0.050187,1E-05,1E-05,0.033048,0.001515,1E-05,1_1_3
CHZR042202,CHZR042202,Europe,Switzerland,Zurich,tritici,2022,47.407442,8.559812,2022,Pot,4n,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHZR042203,CHZR042203,Europe,Switzerland,Zurich,triticale,2022,47.407442,8.559812,2022,Pot,Triticale,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_1_3
CHZR042204,CHZR042204,Europe,Switzerland,Zurich,triticale,2022,47.407442,8.559812,2022,Pot,Triticale,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_1_3
CHZR042301,CHZR042301,Europe,Switzerland,Zurich ,tritici,2023,47.353907,8.625124,2023,Field,,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHZR042302,CHZR042302,Europe,Switzerland,Witikon Zurich,tritici,2023,47.356058,8.59774,2023,Pot,6n,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHZR052205,CHZR052205,Europe,Switzerland,Witikon Zurich,tritici,2022,47.356058,8.59774,2022,Pot,6n,Included,Included,Included,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe1,0.991817,1E-05,1E-05,1E-05,1E-05,0.008133,1E-05,1_2_1
CHZR052206,CHZR052206,Europe,Switzerland,Witikon Zurich,triticale,2022,47.356058,8.59774,2022,Pot,Triticale,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_2_1
