sfs_class,observed,beta,km
1,0.490461497089418,0.491043354788742,0.457797220442374
2,0.161437046344443,0.159998446386258,0.187965204069613
3,0.0965928453693808,0.0914591807637904,0.108363231505772
4,0.0626974872321534,0.0635942399114404,0.0723751573013954
5,0.0460708879188236,0.0491518414556196,0.052564438379888
6,0.0386130281877888,0.0407998228495542,0.0403171935349116
7,0.0345282445862708,0.0359071754534279,0.0321378926907334
8,0.0332531986266596,0.0335910955050474,0.0263643895203764
9,0.036345764645062,0.0344548428861209,0.0221152725549362
