sfs_class,observed,beta,km
1,0.385319095937924,0.385888311457305,0.357980495311927
2,0.146729143265358,0.147869867987649,0.165665537658747
3,0.0911652324308065,0.0896890268613978,0.103996281379814
4,0.0673957692000395,0.0641943446130615,0.0741910501986365
5,0.0516348408867666,0.0501438314929495,0.0568445956749607
6,0.0419931100280581,0.0413831431583163,0.0455970093714058
7,0.037706851903202,0.0354993652680155,0.0377660020108965
8,0.0318390961259182,0.0313673417515606,0.0320307693797256
9,0.0271956498239908,0.0284047235287124,0.0276681713776725
10,0.023421674742566,0.0262972438215866,0.0242503563118214
11,0.0225686529775864,0.0248897320950082,0.0215086933749826
12,0.0197769453831078,0.0241581058462601,0.0192664005827164
13,0.022742547221687,0.024269747127872,0.0174026107039234
14,0.0305113900729886,0.025945214990306,0.015832026662771
