"","X94202","X96224","ARG_3_10","ARG_3_4","ARG_3_5","ARG_3_9","ARG_4_1","ARG_4_2","ARG_4_6","ARG_4_8","AUS_Australian_Isolate","AUS_CUN3M","AUS_FTA","BAH.2","BU.18","Bg_DAC","Bg_DAC_CHE1","CAP.39","CHE_07224","CHE_07227","CHE_07230","CHE_07234","CHE_07298","CHE_10001","CHE_7004","CHE_96229","CHE_96249","CHE_97223","CHE_97266","CHE_98013","CHE_98230","CHE_98250","CHNY072301","CHN_1.19","CHN_1.25","CHN_1.62","CHN_10.8","CHN_11.133","CHN_11.99","CHN_12.3","CHN_12.50","CHN_12.82","CHN_13.37","CHN_13.51","CHN_13.76","CHN_15.17","CHN_15.9","CHN_17.18","CHN_17.40","CHN_18.11","CHN_19.11","CHN_2.25","CHN_2.5","CHN_2.65","CHN_21.1","CHN_21.2","CHN_21.8","CHN_28.9","CHN_3.53","CHN_35.1","CHN_36.3","CHN_36.70","CHN_37.34","CHN_37.38","CHN_39.1","CHN_39.19","CHN_39.5","CHN_40.2","CHN_45.10","CHN_45.6","CHN_46.30","CHN_47.1","CHN_47.3","CHN_49.1","CHN_5.112","CHN_5.36","CHN_5.83","CHN_5.93","CHN_50.2","CHN_51.3","CHN_6.6","CHN_6.69","CHN_7.8","CHN_9.2","CHN_E21","CHN_GZ.10","CHN_GZ.6","CHN_HB.13","CHN_HB.21","CHN_HB.22","CHN_HB.24","CHN_HG.1","CHN_SC.12","CHN_SD.3","CHN_SD.5","CHST042201","CHST042202","CHST042203","CHTG062201","CHVD042201","CHZR022201","CHZR042202","CHZR042203","CHZR042204","CHZR042301","CHZR042302","CHZR052205","CHZR052206","CHZR052207","CHZR062208","COPP.2C","CZKA042201","CZKA042204","CZKA042205","CZKA052301","CZKA052302","CZPR052201","CZPR052202","CZPR052203","CZPR052204","CZPR052205","CZUH042202","CZUH042203","CZUH042204","CZUH042205","CZUH042206","CZUH052301","CZUH052302","DEAU042301","DEBD052301","DEBD052307","DEBD052309","DEBD052318","DEBD062355","DEBE032201","DEBE032202","DEBE032203","DEBE052301","DEBE052302","DEBE052303","DEBE052304","DECO042201","DECO042202","DECO042203","DECO042204","DEDI032201","DEDO072301","DEDO072302","DEDO072303","DEGO062303","DEHA062201","DEHA062205","DEHI052201","DEHI052202","DEHO062206","DEHO062208","DEHO062211","DEHO062214","DEHO062215","DEHO062223","DEHO062227","DEHO062228","DEHO062232","DEHO062233","DEHO062240","DEHO062314","DEHO062320","DELO042201","DELO042202","DELO042203","DELO042204","DELO042205","DELW052301","DELW052304","DELW052307","DEST052301","DEST052302","DEST052303","DKES062203","ESAN032201","ESAN032203","ESAN032205","ESAN032208","ESAN032210","ESAN032212","ESAN032214","ESAN032215","ESAN032216","ESAN032219","ESAN032222","ESAN032225","ESAN032226","ESAN032227","ESAN042303","ESAN042310","ESAN042315","ESAN042318","ESBA062301","ESCT052202","ESCT052207","ESCT052302","ESCT052307","ESCT052309","ESCT062210","ESCT062211","ESCT062212","ESCT062214","ESCT062216","ESCT062217","ESCT062219","ESCT062221","ESCT062224","ESCT062226","ESMA052301","ESMA052302","ESMA052303","ESMD052201","ESMD052202","ESSA052201","ESSA052202","ESSA062301","FRA_ASOSAN_95_9","FRA_B_STONE_95_45","FRA_MERCIA_COKER_98_25","FRA_MISSION_96_19","FRA_M_DOVE_94_10","FRBE052201","FRBE052202","FRBE052203","FRBE052204","FRBE052206","FRCL052201","FRCL052202","FRCL052301","FRCL052302","FRCL052303","FRCO042201","FRCO042202","FRCO042203","FRCO042204","FRLO052301","FRLO052302","FRMP052201","FRMP052202","FRMP052203","FRMP052204","FRMP052205","FRMP052206","FRMU052301","FRMU052302","FRMU052303","FRNE052204","FRNE052205","FRNE052208","FRPA052301","FRPA052303","FRRI052203","FRRI052204","FRRI052205","FRRN052301","FRRN052302","FRRN052303","FRRN052304","FRSA042201","FRSA042202","FRSA042203","FRSA042204","FRSA042205","FRSB042201","FRSB042203","FRSB042204","FRSD062201","FRSD062202","FRSD062203","FRSD062204","FRSD062205","FRSG052301","FRSG052302","GBR_JIW11","GBR_JIW48","GBR_WC1110","GRTH052302","GRTH052303","GRTH052305","HO.101","HUMV062206","HUMV062211","HUMV062213","HUMV062215","HUMV062226","HUMV062227","HUMV062231","HUMV062309","HUMV062323","HUMV062344","HUMV062350","HUSZ062201","IEKD072305","IEKD072313","IELO072305","IELO072310","IEME072202","ILIL042201","ILIL042203","ILIL042208","ILIL042214","ILIL042215","ILIL042217","ILIL042220","ILIL042224","ILIL042236","ILIL042242","ILIL042248","ILIL042254","ILIL042256","ILIL042271","ILIL042279","ISR_103","ISR_113","ISR_13","ISR_15","ISR_202","ISR_203","ISR_204","ISR_205","ISR_206","ISR_208","ISR_210","ISR_211","ISR_212","ISR_214","ISR_215","ISR_216","ISR_217","ISR_218","ISR_219","ISR_30p","ISR_43","ISR_50","ISR_52","ISR_7","ISR_70","ISR_8","ISR_9","ISR_94","ISR_97","ISR_KU","ITBA022201","ITBA022205","ITBA022210","ITBA022213","ITBA022216","ITBA022218","ITBA022222","ITBA062301","ITBA062306","ITBO052301","ITBO052302","ITBO062201","ITBO062202","ITBO062203","ITBZ042301","ITCN042301","ITCN042302","ITCN052201","ITCN052204","ITLE042301","ITLI042201","ITLI052301","ITMA052201","ITMA052208","ITMA052213","ITSA052301","ITSA052302","ITSA052303","JIW2","JPN_2440813_a","JPN_2440813_aii","JPN_CHIKARA","JPN_CHI_79a","JPN_CHI_79b","JPN_MEK_13a","JPN_MEK_13b","JPN_MEK_13c","JPN_MEK_2b","JPN_MEK_2c","KAZ_1a","KAZ_1b","KAZ_2","LTKD062206","LTKD062208","LTKD062215","LTKD062218","LTKD062220","LVAI062204","LVAI062205","LVAI062232","LVAI062233","LVAI062234","LVAI062235","NCSU_EG_02_05","NCSU_EG_02_12","NCSU_EG_02_19","NCSU_EG_03_02","NCSU_EG_03_05","NCSU_EG_03_06","NCSU_EG_03_07","NCSU_EG_03_24","NCSU_EG_04_02","NCSU_EG_04_04","NCSU_EG_04_07","NCSU_EG_04_14","NCSU_EG_04_16","NCSU_EG_04_18","NCSU_EG_05_10","NCSU_EG_05_11","NCSU_EG_05_12","NCSU_EG_05_13","NCSU_EG_05_17","NCSU_EG_05_18","NCSU_EG_05_24","NCSU_EG_06_18","NCSU_EG_07_15","NCSU_EG_07_17","NCSU_EG_07_18","NCSU_EG_07_20","NCSU_EG_07_21","NCSU_EG_07_22","NCSU_EG_07_23","NCSU_EG_08_02","NCSU_EG_08_03","NCSU_EG_08_04","NCSU_EG_08_05","NCSU_EG_08_06","NCSU_EG_08_07","NCSU_EG_08_08","NCSU_EG_08_09","NCSU_EG_08_16","NCSU_EG_08_19","NCSU_EG_08_20","NCSU_IL_07_12","NCSU_IL_07_14","NCSU_IL_08_21","NCSU_IL_08_22","NCSU_IL_08_23","NCSU_IL_08_24","NCSU_RU_01_21","NCSU_RU_01_22","NCSU_RU_01_23","NCSU_RU_01_24","NCSU_RU_02_06","NCSU_RU_02_07","NCSU_RU_02_08","NCSU_RU_02_11","NCSU_RU_02_15","NCSU_RU_02_22","NCSU_RU_02_24","NCSU_RU_03_04","NCSU_RU_03_15","NCSU_RU_03_21","NCSU_RU_03_22","NCSU_RU_04_11","NCSU_RU_04_12","NCSU_RU_04_13","NCSU_RU_04_20","NCSU_RU_04_21","NCSU_RU_05_08","NCSU_RU_05_16","NCSU_RU_05_19","NCSU_RU_05_21","NCSU_RU_05_23","NCSU_RU_06_03","NCSU_RU_06_04","NCSU_RU_06_06","NCSU_RU_06_07","NCSU_RU_06_08","NCSU_RU_06_09","NCSU_RU_06_11","NCSU_TR_01_01","NCSU_TR_01_02","NCSU_TR_01_03","NCSU_TR_01_08","NCSU_TR_01_10","NCSU_TR_01_17","NCSU_TR_01_18","NCSU_TR_01_19","NCSU_TR_01_20","NCSU_TR_02_01","NCSU_TR_02_02","NCSU_TR_02_04","NCSU_TR_02_09","NCSU_TR_02_10","NCSU_TR_02_13","NCSU_TR_02_14","NCSU_TR_02_16","NCSU_TR_02_17","NCSU_TR_02_18","NCSU_TR_02_20","NCSU_TR_02_21","NCSU_TR_02_23","NCSU_TR_03_01","NCSU_TR_03_03","NCSU_TR_03_08","NCSU_TR_03_11","NCSU_TR_03_13","NCSU_TR_03_14","NCSU_TR_03_16","NCSU_TR_03_17","NCSU_TR_03_18","NCSU_TR_03_19","NCSU_TR_03_20","NCSU_TR_03_23","NCSU_TR_04_01","NCSU_TR_04_03","NCSU_TR_04_05","NCSU_TR_04_06","NCSU_TR_04_08","NCSU_TR_04_09","NCSU_TR_04_10","NCSU_TR_04_17","NCSU_TR_04_19","NCSU_TR_04_22","NCSU_TR_04_23","NCSU_TR_04_24","NCSU_TR_05_01","NCSU_TR_05_02","NCSU_TR_05_03","NCSU_TR_05_04","NCSU_TR_05_05","NCSU_TR_05_06","NCSU_TR_05_07","NCSU_TR_05_09","NCSU_TR_05_14","NCSU_TR_05_15","NCSU_TR_05_20","NCSU_TR_05_22","NCSU_TR_06_01","NCSU_TR_06_02","NCSU_TR_06_05","NCSU_TR_06_10","NCSU_TR_06_12","NCSU_TR_06_13","NCSU_TR_06_14","NCSU_TR_06_15","NCSU_TR_06_16","NCSU_TR_06_17","NCSU_TR_08_01","NCSU_US_00_01","NCSU_US_00_02","NCSU_US_00_03","NCSU_US_00_04","NCSU_US_00_05","NCSU_US_00_06","NCSU_US_00_07","NCSU_US_00_08","NCSU_US_00_09","NCSU_US_00_11","NCSU_US_00_12","NCSU_US_00_13","NCSU_US_00_15","NCSU_US_00_16","NCSU_US_00_17","NCSU_US_00_18","NCSU_US_00_19","NCSU_US_00_20","NCSU_US_00_21","NCSU_US_00_22","NCSU_US_00_23","NCSU_US_00_24","NCSU_US_06_19","NCSU_US_06_20","NCSU_US_06_21","NCSU_US_06_22","NCSU_US_06_23","NCSU_US_06_24","NCSU_US_07_01","NCSU_US_07_02","NCSU_US_07_03","NCSU_US_07_04","NCSU_US_07_05","NCSU_US_07_06","NCSU_US_07_07","NCSU_US_07_08","NCSU_US_07_09","NCSU_US_07_10","NCSU_US_08_10","NCSU_US_08_11","NCSU_US_08_12","NCSU_US_08_13","NCSU_US_08_14","NCSU_US_08_15","NLNI042201","NLNI042202","NLNI042203","NLNI042204","NLNI042205","NLNI042206","NLNI042207","NLTX072301","NLTX072302","PLBA092301","PLBA092305","PLBI082201","PLBI082202","PLBI082203","PLBI082212","PLBI082215","PLCZ072206","PLCZ072210","PLCZ072212","PLCZ072215","PLCZ072305","PLCZ072306","PLDE082230","PLKB092303","PLKB092305","PLKO082237","PLKO082242","PLKO082243","PLNA082247","PLNA082249","PLRA082254","PLRA082257","PLRA082270","PLRA092314","PLRA092317","PLRA092320","PLRA092321","PLRA092322","PLSK082271","PLSK082274","PLSK082276","PLSK092301","PLSK092305","PLSM082283","PLSM082285","PLSM082286","PLSM092311","PLSM092312","PLST082288","PLST082289","POL_1","POL_3","POL_5","POL_6","PTOD042301","PTOD042302","ROGT052201","ROGT052209","ROLV052202","ROLV052206","ROLV052209","RUS_C1","RUS_K2","RUS_O1a","RUS_O1b","S.1201","S.1203","S.1391","S.1400","S.1459","SEAB072243","SEAB072246","SEUP072201","SEUP072203","SEUP072204","T1.20","T1.23","T1.8","T3.16","T3.4","T3.8","T3.9","T4.120","T4.19","T4.6","T4.7","T5.12","T5.13","T5.14","T5.9","T6.6","TRSA062307","TRSA062309","TRSA062310","TUHN.12","TUR_1a","TUR_1b","TUR_1c","UKCA042302","UKCA042310","UKCA042316","UKCA042327","UKCA092201","UKCA092202","UKCA092203","UKCA092204","UKCA092205","USA_1","USA_2","USA_3","USA_4","USA_5","USA_6","USA_7","USA_85063","USA_AK3_11","USA_C4_6","USA_J2_1","USA_Ken_2_5","USA_Ken_4_3"
"94202",0,145012,172527,171860,171434,171983,172341,172798,172017,172769,160031,158276,157050,217657,240488,589333,229610,207032,151917,153071,150627,152276,157051,146989,151563,136350,143849,139408,162127,145690,151083,154584,151993,161268,185635,187133,178476,192145,156349,172932,173949,159604,188561,202274,189630,189223,191462,176852,187237,166220,192011,150246,169851,157656,190134,190743,183305,190365,181056,177971,171607,182972,180720,176697,171595,194857,181985,178483,152588,175196,161216,190156,164745,172996,170316,169221,156620,190100,177504,179512,182209,182209,182214,176633,181428,173825,162329,168977,181265,181790,160938,187185,158790,186025,166001,155347,156007,240089,161972,149949,157992,151150,233293,236909,153760,150472,153350,227179,222883,160060,216876,158913,152707,159771,185702,155945,148983,152408,154788,155323,162163,160944,168682,160114,156987,157949,156284,161140,226722,124953,153125,233169,164614,560811,250538,152581,142640,154630,148656,232504,555558,150112,154479,152079,154242,245627,145630,160635,234038,151749,155035,248866,155820,154369,150795,158609,158084,153528,155408,246000,211964,249280,151299,156927,153863,158783,149241,159278,233898,149692,156453,158401,153031,149555,151574,225131,226937,239216,153108,185414,192988,185038,174951,186924,188043,187812,187655,191437,186906,182249,189817,186982,184947,187640,183255,189717,185550,234014,170649,169738,187020,163010,173730,167754,185640,186527,253196,163993,185750,184265,171311,165602,171272,164502,173404,239090,171348,168103,168358,170822,168380,160994,156017,145116,153512,163782,157505,162069,225192,164255,207548,174850,177910,154733,172049,226758,155420,149296,149554,150327,152787,151134,156564,147228,157624,150825,242050,154822,220474,154092,147051,153587,148639,148574,224741,224290,151554,152582,222283,146388,154695,221222,213873,155823,145332,154002,151329,223576,158032,155129,157775,152948,149605,158491,153974,236004,150757,151284,126865,145450,156017,177159,189715,162733,225130,156107,159437,168728,155435,160046,163006,158799,159626,158639,221770,178549,184901,148860,147168,154470,152591,152209,183470,185045,191101,189549,189904,191213,189841,190945,189754,188699,189815,193602,192778,184301,184831,186720,196116,193123,183113,268590,265022,185469,185114,271901,169550,267193,269289,263808,195903,188266,190604,186470,192143,187564,188948,181287,192661,195304,190442,189828,178122,197631,194437,186057,181770,193692,193596,193801,194390,193355,196569,194540,190556,191471,175097,159033,188533,181341,172305,165941,170170,156157,175419,164887,184662,154324,169137,189794,188126,186415,174611,187980,178091,143322,176762,180076,169784,175908,175199,172443,176934,175868,175753,173791,181529,183290,183731,146795,156514,155267,156676,160962,160043,158851,156611,152645,155571,150107,176970,188561,180478,183227,184792,165166,179375,185457,177682,174535,173737,184480,178259,173817,178868,177900,175169,181464,181296,176173,180466,180508,180971,175201,179496,171679,175600,176584,179375,183698,184491,177455,183753,160891,184378,150957,174947,174940,181778,126443,192326,187795,172818,185355,188930,183442,180260,176961,178551,179106,180004,179972,184580,178025,174746,175602,181607,175084,179391,175350,174476,185149,171742,181035,140911,129896,173140,180239,176409,178081,181903,180908,181345,129899,181662,177946,181135,165262,163093,176426,171501,183018,180742,171808,166525,162527,171518,175064,167204,159662,166439,171375,189937,171021,167536,175501,180479,170672,169445,177561,164280,191611,92386,173682,159861,182626,175278,174836,100760,186667,174289,166858,169054,178697,174391,169439,171680,172620,186249,174122,188258,171559,155091,170834,187923,173556,174339,189942,177756,176314,161559,99108,174027,176597,173653,173836,92914,121498,171937,165810,172935,173659,169693,176954,176795,170228,117267,158873,160627,158314,162750,157506,158336,157712,160872,159698,158764,161500,161036,152606,159717,160551,159039,156003,158201,157698,159188,160069,161596,162835,161761,155781,161125,161411,161591,161066,161001,158630,162046,159869,160291,160465,159643,156641,156254,158671,161782,154858,161864,157963,158717,125191,150529,147805,224978,225493,241762,241809,156805,149229,154923,152653,155354,242319,153983,223573,238206,154358,155363,158366,151615,156584,150911,236423,113083,155772,150638,149983,154619,152903,152834,180039,162260,161319,234112,217822,155356,158536,158280,156854,152983,151775,156534,155031,152365,149123,150357,154840,231325,226127,153652,151038,155407,153146,156919,180947,230502,165798,163014,153699,162244,157156,181469,181231,181963,184278,554260,546541,551722,550668,553594,158167,150596,159325,157768,157170,244553,230767,242965,226929,226370,228124,228083,234710,239914,215165,241197,221550,235329,232671,231564,210793,176980,177381,171674,232762,175530,174485,173764,150098,149683,147253,153709,147242,156884,152885,149035,146005,160532,159574,157285,162901,157643,156482,158232,146880,154887,159249,160243,152698,158162
"96224",145012,0,178726,178546,179854,179186,180974,179558,180950,179727,167486,167526,164119,225121,252781,599303,227854,217150,159287,161366,155463,157388,158993,152893,158903,151040,157191,149745,170810,151301,150533,154760,158614,164923,190717,189243,181958,195486,164706,180995,180249,168816,193474,204564,193979,194230,197192,181433,192723,170363,196935,157615,178353,170207,193047,198414,189204,195185,186205,181931,180300,190769,186053,182511,180877,200650,186794,188370,162065,183869,170033,194881,170450,175431,171083,176628,158898,195173,184215,183743,189494,189494,188276,181472,186442,180343,164793,179333,186022,189077,166679,189471,167910,195141,173572,163098,164129,246897,161383,166970,167810,158465,244314,249133,153598,157945,160623,237566,232145,160826,221724,165668,158865,165032,187037,161119,155827,157242,163119,165448,166128,166895,171109,160943,165190,166958,162338,168520,233597,123745,159702,239374,172047,571407,263271,157103,155284,164740,153530,237982,565719,160986,164090,158097,163092,252252,154222,159623,240151,158841,167450,259324,169647,167041,157507,167504,161851,153171,160366,257113,220389,260204,163210,165693,157361,154910,158356,160997,244130,163297,157672,157514,156892,155808,159646,230187,230361,241278,161903,192984,201668,193780,187146,196037,197450,195161,199005,198594,197629,194055,200112,196461,193783,200135,189361,193474,194549,240864,171037,176972,196812,166530,171835,173624,194500,195880,263599,178461,192574,191194,180359,177963,181037,172234,179529,242926,169732,177666,173499,176717,176186,167839,164094,154491,158429,166366,170265,167287,233395,170286,214649,179214,184872,158419,177079,228900,159749,153366,154866,158123,152442,155963,159957,157542,163926,162044,248746,161973,226500,156894,157975,160465,156582,157200,228078,232302,152870,155317,231598,151703,157570,227108,218966,167289,157719,163546,156935,230685,159460,161646,164438,159900,158428,164186,156488,246341,154629,162142,137598,146227,165350,179048,194427,164353,231545,167304,170782,176183,156946,168825,166455,162475,164107,165740,232288,183804,189026,156946,156083,153738,155293,159026,189848,192133,200309,197834,196257,198211,198224,200237,198168,196541,198214,202680,203085,187527,188316,193257,205420,201767,194169,275735,271685,192162,192950,278900,178401,274633,277271,270691,204620,197632,197818,192756,203916,196192,196805,188963,200213,202939,195042,198550,184196,206982,203161,195487,192815,200081,199997,203936,205440,199551,203127,204333,194137,195539,182160,161482,201037,188370,181976,170792,172130,163524,185910,168912,188377,159660,169950,194910,198872,197551,186193,195371,183961,142111,183842,186172,169211,181574,184450,177642,185481,183486,185364,183468,186087,192092,192853,158102,161407,158883,160913,166439,164877,168444,165959,161822,159475,162144,184249,190244,187450,191701,190178,172715,188323,186021,186686,177667,183385,183054,186267,180001,184166,183714,182426,183475,188493,181767,186288,188396,191686,181618,187894,176335,180258,185100,187223,188794,193379,184426,188188,169524,186521,154947,179904,182659,186295,131983,200222,193790,178289,192462,199338,190805,185347,182167,184047,186919,183877,186648,192395,186331,184601,187421,186124,187409,182399,183652,179848,186683,180531,188607,147890,134256,179309,186004,185119,184483,186370,186173,186434,134382,183691,184256,184663,173422,167603,181589,176750,188828,188251,177797,172250,165177,176908,181335,177230,162668,171338,181308,198573,177060,179665,180222,187754,179135,174543,184199,165728,199180,100680,170527,163472,188775,180333,180192,104379,192883,185285,174656,170643,182286,181449,176852,175970,177288,196372,177597,193105,178840,158283,177648,195975,178235,179255,197865,184433,183114,170624,103722,178826,181544,182224,180096,95465,126137,178514,172570,177881,180487,173358,181264,183914,176920,120734,168134,167154,168379,170054,166091,164562,167082,165898,169485,168758,168632,168967,159184,169244,168382,165975,162150,166889,166273,167443,167576,171245,171253,168936,160259,168814,170068,168180,169293,167726,164154,169280,169821,168964,169459,168788,163991,160960,165753,168458,159500,169037,163502,166294,134047,162416,156147,237605,232188,250480,248023,158732,156164,158678,156346,158941,252081,160017,232810,248299,157317,158764,160679,163615,161529,158046,245163,116468,159306,161064,156279,155097,153624,165306,185048,160768,164877,245759,225476,159941,155666,165196,160107,161587,153459,156893,156604,163216,156238,159377,166622,243537,231971,159479,159934,164850,159259,163247,185917,231477,167455,172492,160036,168025,163993,183670,188476,191427,192876,562780,554743,560566,558834,562134,160211,157849,165992,164607,158265,247368,233086,245380,233116,232413,234662,234774,237318,246486,217114,248234,228957,241917,235614,234303,217456,180709,177916,177487,241221,183653,182582,183318,158156,153468,152849,156180,153777,155616,154472,155092,154392,166593,164343,163828,170719,162901,162803,165192,149557,161683,166767,166987,156878,164977
"ARG_3_10",172527,178726,0,29935,27143,24026,54310,43624,56903,45102,114989,115213,113908,239960,263480,590641,231711,233827,172971,171550,170854,176597,174048,171870,171298,175402,172089,171429,179772,169475,170140,173603,172581,175222,186474,184760,186829,190986,175547,182162,180141,178502,188617,200540,186935,188273,190751,179166,187739,178412,190455,174440,181534,178481,187984,189252,183998,189515,183851,185033,183321,185154,181280,182714,180059,193947,185996,190355,173688,183153,177787,186601,178908,186365,168422,176037,172399,188266,182464,178218,186468,186468,186384,185058,179519,183377,177493,179507,184910,190851,179498,184071,174616,187889,180093,175410,176042,254708,179351,172698,174172,175097,254704,258219,171091,167637,174961,246700,242490,173290,236374,176078,173090,175402,186191,172788,172578,173196,174993,176530,176202,178105,177184,175974,176925,174138,171991,169845,242612,141063,171425,253656,178611,563380,267548,174082,172247,174482,170710,246809,558175,174662,173826,173585,177218,261212,169764,179625,247394,171881,174399,266372,173346,171825,173285,176237,174837,173039,174114,260529,229645,268876,173726,176786,170729,168873,170049,174483,253486,173786,174696,177307,173265,173005,169772,244938,240781,253482,177347,189794,194809,188951,184926,189685,191875,189267,193446,190265,190894,188882,191359,191016,190281,189678,186551,189057,187523,246681,181459,183717,190184,179970,181709,177996,191195,192018,268476,178705,188189,188998,182001,178870,179462,179545,180669,251448,184831,181142,177917,182400,180249,176751,171764,176222,175347,171886,175328,175293,243271,178233,222949,183434,186599,171731,182678,245596,173125,176714,173576,173391,171996,171766,173390,170613,177255,176172,254384,172477,236329,171677,169131,176052,170761,173770,238529,238748,174768,175700,239439,170648,171304,238404,231774,174342,172637,178239,171995,237611,176269,179009,177605,174415,172777,173708,170595,251778,173257,171502,170854,162850,164860,183013,188822,179500,244744,177271,174895,176704,176809,176770,173994,178647,173894,173188,239239,180167,190818,171411,171538,172237,171685,172260,184177,185696,192972,191598,189301,190503,191812,192802,191761,190754,191812,192561,195689,182231,182686,184544,194107,189989,186764,269105,265141,187001,185854,272318,176951,268080,270823,265152,195431,191542,191468,189205,191748,189761,188108,184649,190443,192194,187405,187599,175195,194930,193701,186424,182773,193181,193128,196036,193133,192841,194990,195919,190786,191665,179189,175991,189744,183159,177161,171458,178749,175095,181910,181771,186029,176720,179594,190784,189565,187298,185076,186642,185030,164639,151741,150414,144511,148752,151776,144020,150668,149946,151782,149506,180697,181054,184979,173019,176726,173164,175622,177000,174910,171699,174454,172954,173295,174784,180818,192822,182102,183883,185159,166420,182594,189562,183640,177310,180030,188596,179564,174283,181406,181621,178532,180806,181589,176422,182571,181878,183164,179118,181781,172684,176788,180374,181258,184433,183868,179405,183063,164519,182037,147032,177988,178501,182248,129273,191729,188907,170002,183115,188876,186020,182446,177798,179167,181921,182455,180826,180857,183698,176267,181472,183153,180794,178347,178923,177580,186312,179769,180115,143186,133472,175546,178747,180904,179285,183899,181362,180934,133535,182193,178849,180196,174314,172315,178664,178826,181350,182589,180949,175721,173287,177000,177356,176275,173954,177328,179321,190442,179248,176531,177012,178486,178920,178078,181181,175049,191131,98421,176287,170237,182804,177438,174606,105165,187122,180419,178769,174730,180204,177712,175439,174902,179023,186830,177403,185544,179531,156926,176963,190346,181669,178261,191680,177919,179212,176942,99963,178207,181327,177888,178381,92917,123979,177796,178979,178420,179189,180508,176082,182517,177508,129781,126794,128702,126606,125866,125981,123071,126853,128276,127339,127474,129386,126567,121980,127764,126262,126378,122842,126733,125724,125623,125986,127259,125527,125859,123005,125073,126428,123816,125421,125237,124239,126524,125664,123719,125822,125541,123866,122911,123872,123980,123459,126436,125746,123120,147219,173334,172185,237880,242931,261353,256644,172865,170569,173291,173582,174949,260674,171348,238802,256184,173124,173530,177671,172221,170486,174061,252795,132033,174341,173501,174442,174778,175176,170560,189047,172981,172524,252646,236074,172029,176743,171093,176427,174494,174894,170616,173850,175403,173875,172192,177628,247702,241989,171012,175719,175153,176560,175221,185183,241390,179843,178669,174951,175364,175037,183051,182378,184244,184730,556819,549421,554783,553202,556116,177201,172228,171133,174867,177689,255751,245716,254165,240585,239970,241749,241752,247147,262605,228921,263994,238912,256118,248960,247896,224341,177619,181556,179611,252769,180449,177942,179951,171056,171814,172501,170253,172225,173469,172094,172552,173212,125595,124132,122596,126712,123579,121783,125728,115336,123180,124870,125955,121978,124788
