"","strain","country","latitude","longitude","host","pot.field","fs_level_4","anc1","anc2","anc5","anc6","anc7","wind_coord1","wind_coord2","wind_coord3","bio2","bio3","bio4","bio7","bio8","bio16","bio19","hurs_range","rsds_range","vpd_range","clt_mean","clt_range"
"ESAN032215","tritici","Spain",37.53833333,-5.107222222,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
"ESAN032216","tritici","Spain",37.53833333,-5.107222222,"6n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
"ESAN032219","tritici","Spain",37.53833333,-5.107222222,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.279754322793113,-0.906621433726476,1.45269711377565,1.18814054549071,0.911373906315185,-0.166480487201504,0.825285961020985,0.195050054172451,0.612497975964756,0.849929130053427,1.70750232162688,1.78413949624899,1.56580265174882,-0.93255573492314,0.70422476126085
"ESAN032222","tritici","Spain",37.45583333,-6.364444444,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.255097895800834,-0.981803593124569,1.60006851945303,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
"ESAN032225","tritici","Spain",37.45583333,-6.364444444,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.255097895800834,-0.981803593124569,1.60006851945303,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
"ESAN032226","tritici","Spain",37.45583333,-6.364444444,"4n","Field","S_EUR2",0.978311,1e-05,1e-05,0.021619,1e-05,0.255097895800834,-0.981803593124569,1.60006851945303,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
"ESAN032227","tritici","Spain",37.45583333,-6.364444444,"6n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.255097895800834,-0.981803593124569,1.60006851945303,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
"ESAN042303","tritici","Spain",37.77916667,-4.78833333,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.233372509827234,-0.871111841762672,1.35097063711391,1.18814054549071,0.785301048058645,0.00688812953808081,0.994400322296148,0.175067197842975,0.774651850656433,0.993065579475839,1.74370430569824,1.98169088587861,1.71026515254756,-0.91482365283776,0.71637774169493
"ESAN042310","tritici","Spain",37.77916667,-4.78833333,"4n","Field","S_EUR2",0.99992,1e-05,1e-05,1e-05,1e-05,0.233372509827234,-0.871111841762672,1.35097063711391,1.18814054549071,0.785301048058645,0.00688812953808081,0.994400322296148,0.175067197842975,0.774651850656433,0.993065579475839,1.74370430569824,1.98169088587861,1.71026515254756,-0.91482365283776,0.71637774169493
"ESAN042315","tritici","Spain",37.45472222,-6.36333333,"4n","Field","S_EUR2",0.994141,1e-05,1e-05,1e-05,1e-05,0.255097895800834,-0.981803593124569,1.60006851945303,0.976465622591516,0.990169818452277,-0.618151357128319,0.414579655067021,0.314947192149284,0.829419053366867,1.05193621593183,0.793402223824907,1.66793279646685,1.16935302171093,-0.972452919615245,0.641940736536188
