"","strain","country","latitude","longitude","host","pot.field","fs_level_4","anc1","anc2","anc5","anc6","anc7","wind_coord1","wind_coord2","wind_coord3","bio2","bio3","bio4","bio7","bio8","bio16","bio19","hurs_range","rsds_range","vpd_range","clt_mean","clt_range"
"CZKA042205","tritici","Czech Republic",49.2849792,17.3643381,"6n","Pot","N_EUR",0.049232,0.006003,1e-05,0.744186,0.200529,-0.645345245297453,-0.160117648117907,-0.253130323333375,-0.29358391480367,-0.711815646644784,0.838145023484196,0.462898044002781,0.77455288772712,0.0991896838944141,-0.767281883178827,-0.0784622258938032,-0.78080060505336,-0.372170651435763,0.69347619230621,-0.126735275919396
"CZKA052301","tritici","Czech Republic",49.2899058,17.3658633,"","Field","S_EUR2",0.867484,1e-05,0.013273,0.118228,1e-05,-0.645345245297453,-0.160117648117907,-0.253130323333375,-0.29358391480367,-0.711815646644784,0.838145023484196,0.462898044002781,0.77455288772712,0.0991896838944141,-0.767281883178827,-0.0784622258938032,-0.78080060505336,-0.372170651435763,0.69347619230621,-0.126735275919396
"CZKA052302","tritici","Czech Republic",49.2899058,17.3658633,"","Field","N_EUR",1.9e-05,1e-05,1e-05,0.837167,0.159249,-0.645345245297453,-0.160117648117907,-0.253130323333375,-0.29358391480367,-0.711815646644784,0.838145023484196,0.462898044002781,0.77455288772712,0.0991896838944141,-0.767281883178827,-0.0784622258938032,-0.78080060505336,-0.372170651435763,0.69347619230621,-0.126735275919396
"CZPR052201","tritici","Czech Republic",50.081499,14.309154,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.997021,1e-05,-0.674659128702168,-0.277230566547002,-0.452167825181665,-0.378253883963349,-0.475428661687018,0.31438930764987,-0.0202858453548235,0.834501456715537,0.211945689474719,-0.935813509111667,0.066345710391657,-0.95059150529059,-0.581147929298747,0.822033787425215,-0.603739757957051
"CZPR052202","tritici","Czech Republic",50.081499,14.309154,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.674659128702168,-0.277230566547002,-0.452167825181665,-0.378253883963349,-0.475428661687018,0.31438930764987,-0.0202858453548235,0.834501456715537,0.211945689474719,-0.935813509111667,0.066345710391657,-0.95059150529059,-0.581147929298747,0.822033787425215,-0.603739757957051
"CZPR052203","tritici","Czech Republic",50.08778,14.28088,"","Field","N_EUR",1e-05,1e-05,1e-05,0.853334,0.146596,-0.674659128702168,-0.277230566547002,-0.452167825181666,-0.378253883963349,-0.45966955440495,0.275153252282491,-0.0444450398227032,0.794535744056596,0.229127556991718,-0.933504856701628,0.0965140304511284,-0.989972664661202,-0.607206839250185,0.831786432572174,-0.602220635402791
"CZPR052204","tritici","Czech Republic",50.00088702,14.5598933,"6n","Pot","N_EUR",0.028565,0.008013,0.011681,0.951691,1e-05,-0.675748259126968,-0.25059235334559,-0.434298221542503,-0.378253883963349,-0.52270598353322,0.360012627844498,0.0038733491130571,0.894450025703954,0.1238886184501,-0.879251525065714,-0.301707794333888,-0.935742871429539,-0.57431695290371,0.74667243856235,-0.861990592181259
"CZPR052205","tritici","Czech Republic",50.00088702,14.5598933,"6n","Pot","N_EUR",1e-05,0.017475,1e-05,0.945803,0.036661,-0.675748259126968,-0.25059235334559,-0.434298221542503,-0.378253883963349,-0.52270598353322,0.360012627844498,0.0038733491130571,0.894450025703954,0.1238886184501,-0.879251525065714,-0.301707794333888,-0.935742871429539,-0.57431695290371,0.74667243856235,-0.861990592181259
"CZUH042202","tritici","Czech Republic",49.0835897,17.464465,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.857004,0.138634,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.759092968490987,0.933953995892914,0.583694016342183,0.874467169374478,-0.19827139749363,-0.774207840408944,0.0844467024273397,-0.663948312494658,-0.275271986276534,0.641166550154339,-0.211806138957959
"CZUH042203","tritici","Czech Republic",49.0835897,17.464465,"6n","Pot","N_EUR",0.018778,1e-05,1e-05,0.769467,0.211694,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.759092968490987,0.933953995892914,0.583694016342183,0.874467169374478,-0.19827139749363,-0.774207840408944,0.0844467024273397,-0.663948312494658,-0.275271986276534,0.641166550154339,-0.211806138957959
"CZUH042204","tritici","Czech Republic",49.0835897,17.464465,"6n","Pot","N_EUR",0.043541,1e-05,1e-05,0.762947,0.193452,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.759092968490987,0.933953995892914,0.583694016342183,0.874467169374478,-0.19827139749363,-0.774207840408944,0.0844467024273397,-0.663948312494658,-0.275271986276534,0.641166550154339,-0.211806138957959
"CZUH042205","tritici","Czech Republic",49.0835897,17.464465,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.986673,1e-05,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.759092968490987,0.933953995892914,0.583694016342183,0.874467169374478,-0.19827139749363,-0.774207840408944,0.0844467024273397,-0.663948312494658,-0.275271986276534,0.641166550154339,-0.211806138957959
"CZUH042206","tritici","Czech Republic",49.0835897,17.464465,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.87792,0.118156,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.759092968490987,0.933953995892914,0.583694016342183,0.874467169374478,-0.19827139749363,-0.774207840408944,0.0844467024273397,-0.663948312494658,-0.275271986276534,0.641166550154339,-0.211806138957959
"CZUH052301","tritici","Czech Republic",49.0775319,17.4611247,"","Field","N_EUR",0.011699,1e-05,0.015322,0.933777,0.038252,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.774852075773055,0.943991126335732,0.607853210810063,0.874467169374478,-0.203640731092692,-0.774207840408944,0.0452278863500278,-0.657492384728982,-0.27603098365376,0.641166550154339,-0.211806138957959
"CZUH052302","tritici","Czech Republic",49.0775319,17.4611247,"6n","Field","N_EUR",0.037484,1e-05,1e-05,0.734071,0.228385,-0.612554333670091,-0.104038879910575,-0.104869766015323,-0.29358391480367,-0.774852075773055,0.943991126335732,0.607853210810063,0.874467169374478,-0.203640731092692,-0.774207840408944,0.0452278863500278,-0.657492384728982,-0.27603098365376,0.641166550154339,-0.211806138957959
"DEBD052307","tritici","Germany",52.460509,13.297172,"6n","Field","N_EUR",1e-05,0.009071,0.003951,0.986918,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.0789729754455923,-0.455151345776667,0.874467169374478,-0.396936740658929,-0.270921615020462,0.886924016009267,-0.825346506636512,-0.531054102401809,1.03304556424124,-0.173828075101458
"DEBD052318","tritici","Germany",52.460509,13.297172,"6n","Field","S_EUR1",0.351891,1e-05,0.00531,0.642739,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.0789729754455923,-0.455151345776667,0.874467169374478,-0.396936740658929,-0.270921615020462,0.886924016009267,-0.825346506636512,-0.531054102401809,1.03304556424124,-0.173828075101458
"DEBE032202","tritici","Germany",52.53295,13.403097,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.103609568350691,-0.455151345776667,0.894450025703954,-0.452777810089176,-0.285927855685715,0.841671535920061,-0.836967176614726,-0.53004210589884,1.04013839707539,-0.108505805268276
"DEBE032203","tritici","Germany",52.53295,13.403097,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.103609568350691,-0.455151345776667,0.894450025703954,-0.452777810089176,-0.285927855685715,0.841671535920061,-0.836967176614726,-0.53004210589884,1.04013839707539,-0.108505805268276
"DEBE052301","tritici","Germany",52.53295,13.403097,"6n","Pot","N_EUR",1e-05,1e-05,0.007778,0.992152,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.103609568350691,-0.455151345776667,0.894450025703954,-0.452777810089176,-0.285927855685715,0.841671535920061,-0.836967176614726,-0.53004210589884,1.04013839707539,-0.108505805268276
"DEBE052302","tritici","Germany",52.53295,13.403097,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.879199605127373,-0.515733548967994,-0.799754369022025,-0.801603729761744,-0.790611183055122,0.103609568350691,-0.455151345776667,0.894450025703954,-0.452777810089176,-0.285927855685715,0.841671535920061,-0.836967176614726,-0.53004210589884,1.04013839707539,-0.108505805268276
"DECO042201","tritici","Germany",50.956411,6.858728,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.742286200071614,-0.470088829739039,-0.68353818858434,-0.759268745181904,-0.239042052456006,-0.723997459979854,-1.01081281853791,0.874467169374478,-0.00819698808682902,0.194271845602377,-0.440482066607455,-0.979643180236125,-0.772415268359784,0.990488567236325,-0.936427597340001
"DECO042202","tritici","Germany",50.956411,6.858728,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.742286200071614,-0.470088829739039,-0.683538188584339,-0.759268745181904,-0.239042052456006,-0.723997459979854,-1.01081281853791,0.874467169374478,-0.00819698808682902,0.194271845602377,-0.440482066607455,-0.979643180236125,-0.772415268359784,0.990488567236325,-0.936427597340001
"DECO042203","tritici","Germany",50.956411,6.858728,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.742286200071614,-0.470088829739039,-0.683538188584339,-0.759268745181904,-0.239042052456006,-0.723997459979854,-1.01081281853791,0.874467169374478,-0.00819698808682902,0.194271845602377,-0.440482066607455,-0.979643180236125,-0.772415268359784,0.990488567236325,-0.936427597340001
"DECO042204","tritici","Germany",50.956411,6.858728,"4n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.742286200071614,-0.470088829739039,-0.683538188584339,-0.759268745181904,-0.239042052456006,-0.723997459979854,-1.01081281853791,0.874467169374478,-0.00819698808682902,0.194271845602377,-0.440482066607455,-0.979643180236125,-0.772415268359784,0.990488567236325,-0.936427597340001
"DEDO072301","tritici","Germany",51.456504,7.526609,"6n","Pot","N_EUR",1e-05,1e-05,1e-05,0.99992,1e-05,-0.7832413365699,-0.476817997038966,-0.702223086583192,-0.886273698921423,-0.443910447122882,-0.742246788057705,-1.03497201300579,-2.0829955673873,0.905663590473549,1.41439464430794,-0.0844958899056978,-1.04678482899914,-0.926238736810988,1.1686959921944,-0.615892738391131
