hap_class,hap_id
1,CZUH042203_1_avrpm17_cds
1,CZUH042205_1_avrpm17_cds
1,CZUH052301_1_avrpm17_cds
1,DEBD052307_1_avrpm17_cds
1,DEBD052318_2_avrpm17_cds
1,DEBE032202_2_avrpm17_cds
1,DEBE052302_1_avrpm17_cds
1,DECO042201_1_avrpm17_cds
1,DECO042202_1_avrpm17_cds
1,DECO042203_1_avrpm17_cds
1,DEHI052201_1_avrpm17_cds
1,DEHO062208_1_avrpm17_cds
1,DEHO062214_1_avrpm17_cds
1,DEHO062215_1_avrpm17_cds
1,DEHO062232_1_avrpm17_cds
1,DEHO062240_1_avrpm17_cds
1,DEHO062314_1_avrpm17_cds
1,DELO042201_1_avrpm17_cds
1,DELO042203_1_avrpm17_cds
1,DELO042204_1_avrpm17_cds
1,DELO042205_1_avrpm17_cds
1,DELW052301_1_avrpm17_cds
1,DELW052304_1_avrpm17_cds
1,DELW052307_1_avrpm17_cds
1,DKES062203_1_avrpm17_cds
1,ESAN032201_2_avrpm17_cds
1,ESAN032203_2_avrpm17_cds
1,ESAN032208_1_avrpm17_cds
1,ESAN032210_1_avrpm17_cds
1,ESAN032212_2_avrpm17_cds
1,ESAN032214_1_avrpm17_cds
1,ESAN032215_2_avrpm17_cds
1,ESAN032216_1_avrpm17_cds
1,ESAN032222_1_avrpm17_cds
1,ESAN032226_1_avrpm17_cds
1,ESAN032227_1_avrpm17_cds
1,ESAN042303_1_avrpm17_cds
1,ESAN042310_1_avrpm17_cds
1,ESAN042318_1_avrpm17_cds
1,ESCT052202_1_avrpm17_cds
1,ESCT052302_1_avrpm17_cds
1,ESCT052309_1_avrpm17_cds
1,ESCT062210_1_avrpm17_cds
1,ESCT062211_1_avrpm17_cds
1,ESCT062217_1_avrpm17_cds
1,ESCT062221_1_avrpm17_cds
1,ESCT062224_1_avrpm17_cds
1,ESMA052301_1_avrpm17_cds
1,ESMD052201_1_avrpm17_cds
1,ESMD052202_1_avrpm17_cds
1,ESSA052201_1_avrpm17_cds
1,ESSA052202_1_avrpm17_cds
1,FRA_B_STONE_95_45_1_avrpm17_cds
1,FRA_MISSION_96_19_1_avrpm17_cds
1,FRA_M_DOVE_94_10_1_avrpm17_cds
