"","ITBO062202","GRTH052302","ITSA052303","CZKA052301","ITMA052208","HUMV062350","HUSZ062201","ITSA052302","PLRA082254","GRTH052303","ITBA022201","ITMA052213","ITBA022222","ITMA052201","ITBO062201","ITBA022210","ITLE042301","ITBA022213","ITBA022218","ITBA062301","ESAN032208","PTOD042301","ESCT062211","ESCT052302","ESCT062217","ESCT062219","ESMD052202","ESCT052202","ESMD052201","ESCT062216","ESCT062224","ESCT062226","ESMA052301","ESCT062221","ESCT052307","ESCT052309","ESCT052207","ESMA052302","ESCT062210","ESSA052201","ESSA062301","ESSA052202","ESAN032210","ESAN032214","ESAN032203","ESAN032205","ESAN032212","ESAN032201","ESAN032215","ESAN032226","ESAN042318","ESAN042303","ESAN032216","ESAN032227","ESAN032222","ESAN032225","ESAN032219","ESAN042315","ESAN042310"
"ITBA022201",390.185555079069,56.4592240037741,180.711437299424,916.92512953427,243.53890594706,697.585078431544,712.878569558058,180.711437299424,1243.72637401205,56.6827258063303,0,243.372558336799,0,243.53890594706,390.185555079069,0,121.903665249989,0,0,0.0210036096935447,410.515608176506,376.848279602688,72.0276256832799,72.0276256832799,72.0276256832799,72.0276256832799,70.9672219370291,72.0276256832799,70.3283548218405,72.0276256832799,72.0276256832799,72.0276256832799,152.642646519942,72.0276256832799,72.0276256832799,72.0276256832799,105.100332715171,152.642646519942,72.0276256832799,9.7915995146181,13.3567980118287,9.7915995146181,410.515608176506,389.790109225595,410.515608176506,410.515608176506,389.790109225595,410.515608176506,389.790109225595,398.963690673772,399.087240468715,363.010663650731,389.790109225595,398.963690673772,398.963690673772,398.963690673772,389.790109225595,399.087240468715,363.010663650731
"ITMA052213",146.81299674227,299.831782340573,424.083995636223,673.552571197472,0.166347610260599,454.212520094745,469.506011221259,424.083995636223,1000.35381567526,300.055284143129,243.372558336799,0,243.372558336799,0.166347610260599,146.81299674227,243.372558336799,365.276223586788,243.372558336799,243.372558336799,243.393561946492,653.888166513305,620.220837939487,171.344932653519,171.344932653519,171.344932653519,171.344932653519,314.339780273828,171.344932653519,313.700913158639,171.344932653519,171.344932653519,171.344932653519,396.015204856741,171.344932653519,171.344932653519,171.344932653519,138.272225621628,396.015204856741,171.344932653519,253.164157851417,256.729356348628,253.164157851417,653.888166513305,633.162667562394,653.888166513305,653.888166513305,633.162667562394,653.888166513305,633.162667562394,642.336249010571,642.459798805514,606.38322198753,633.162667562394,642.336249010571,642.336249010571,642.336249010571,633.162667562394,642.459798805514,606.38322198753
"ITBA022222",390.185555079069,56.4592240037741,180.711437299424,916.92512953427,243.53890594706,697.585078431544,712.878569558058,180.711437299424,1243.72637401205,56.6827258063303,0,243.372558336799,0,243.53890594706,390.185555079069,0,121.903665249989,0,0,0.0210036096935447,410.515608176506,376.848279602688,72.0276256832799,72.0276256832799,72.0276256832799,72.0276256832799,70.9672219370291,72.0276256832799,70.3283548218405,72.0276256832799,72.0276256832799,72.0276256832799,152.642646519942,72.0276256832799,72.0276256832799,72.0276256832799,105.100332715171,152.642646519942,72.0276256832799,9.7915995146181,13.3567980118287,9.7915995146181,410.515608176506,389.790109225595,410.515608176506,410.515608176506,389.790109225595,410.515608176506,389.790109225595,398.963690673772,399.087240468715,363.010663650731,389.790109225595,398.963690673772,398.963690673772,398.963690673772,389.790109225595,399.087240468715,363.010663650731
"ITMA052201",146.64664913201,299.998129950834,424.250343246484,673.386223587211,0,454.046172484485,469.339663610998,424.250343246484,1000.187468065,300.22163175339,243.53890594706,0.166347610260599,243.53890594706,0,146.64664913201,243.53890594706,365.442571197049,243.53890594706,243.53890594706,243.559909556753,654.054514123566,620.387185549747,171.51128026378,171.51128026378,171.51128026378,171.51128026378,314.506127884089,171.51128026378,313.8672607689,171.51128026378,171.51128026378,171.51128026378,396.181552467002,171.51128026378,171.51128026378,171.51128026378,138.438573231889,396.181552467002,171.51128026378,253.330505461678,256.895703958888,253.330505461678,654.054514123566,633.329015172655,654.054514123566,654.054514123566,633.329015172655,654.054514123566,633.329015172655,642.502596620831,642.626146415775,606.54956959779,633.329015172655,642.502596620831,642.502596620831,642.502596620831,633.329015172655,642.626146415775,606.54956959779
"ITBO062201",0,446.644779082843,570.896992378493,526.739574455201,146.64664913201,307.399523352475,322.693014478988,570.896992378493,853.540818932985,446.8682808854,390.185555079069,146.81299674227,390.185555079069,146.64664913201,0,390.185555079069,512.089220329059,390.185555079069,390.185555079069,390.206558688763,800.701163255576,767.033834681757,318.157929395789,318.157929395789,318.157929395789,318.157929395789,461.152777016098,318.157929395789,460.51390990091,318.157929395789,318.157929395789,318.157929395789,542.828201599012,318.157929395789,318.157929395789,318.157929395789,285.085222363898,542.828201599012,318.157929395789,399.977154593687,403.542353090898,399.977154593687,800.701163255576,779.975664304665,800.701163255576,800.701163255576,779.975664304665,800.701163255576,779.975664304665,789.149245752841,789.272795547785,753.1962187298,779.975664304665,789.149245752841,789.149245752841,789.149245752841,779.975664304665,789.272795547785,753.1962187298
"ITBA022210",390.185555079069,56.4592240037741,180.711437299424,916.92512953427,243.53890594706,697.585078431544,712.878569558058,180.711437299424,1243.72637401205,56.6827258063303,0,243.372558336799,0,243.53890594706,390.185555079069,0,121.903665249989,0,0,0.0210036096935447,410.515608176506,376.848279602688,72.0276256832799,72.0276256832799,72.0276256832799,72.0276256832799,70.9672219370291,72.0276256832799,70.3283548218405,72.0276256832799,72.0276256832799,72.0276256832799,152.642646519942,72.0276256832799,72.0276256832799,72.0276256832799,105.100332715171,152.642646519942,72.0276256832799,9.7915995146181,13.3567980118287,9.7915995146181,410.515608176506,389.790109225595,410.515608176506,410.515608176506,389.790109225595,410.515608176506,389.790109225595,398.963690673772,399.087240468715,363.010663650731,389.790109225595,398.963690673772,398.963690673772,398.963690673772,389.790109225595,399.087240468715,363.010663650731
"ITLE042301",512.089220329059,65.4444412462154,58.8077720494347,1038.82879478426,365.442571197049,819.488743681534,834.782234808047,58.8077720494347,1365.63003926204,65.2209394436592,121.903665249989,365.276223586788,121.903665249989,365.442571197049,512.089220329059,121.903665249989,0,121.903665249989,121.903665249989,121.882661640296,288.611942926517,254.944614352698,193.931290933269,193.931290933269,193.931290933269,193.931290933269,50.9364433129603,193.931290933269,51.5753104281489,193.931290933269,193.931290933269,193.931290933269,30.738981269953,193.931290933269,193.931290933269,193.931290933269,227.00399796516,30.738981269953,193.931290933269,112.112065735371,108.546867238161,112.112065735371,288.611942926517,267.886443975606,288.611942926517,288.611942926517,267.886443975606,288.611942926517,267.886443975606,277.060025423782,277.183575218726,241.106998400742,267.886443975606,277.060025423782,277.060025423782,277.060025423782,267.886443975606,277.183575218726,241.106998400742
"ITBA022213",390.185555079069,56.4592240037741,180.711437299424,916.92512953427,243.53890594706,697.585078431544,712.878569558058,180.711437299424,1243.72637401205,56.6827258063303,0,243.372558336799,0,243.53890594706,390.185555079069,0,121.903665249989,0,0,0.0210036096935447,410.515608176506,376.848279602688,72.0276256832799,72.0276256832799,72.0276256832799,72.0276256832799,70.9672219370291,72.0276256832799,70.3283548218405,72.0276256832799,72.0276256832799,72.0276256832799,152.642646519942,72.0276256832799,72.0276256832799,72.0276256832799,105.100332715171,152.642646519942,72.0276256832799,9.7915995146181,13.3567980118287,9.7915995146181,410.515608176506,389.790109225595,410.515608176506,410.515608176506,389.790109225595,410.515608176506,389.790109225595,398.963690673772,399.087240468715,363.010663650731,389.790109225595,398.963690673772,398.963690673772,398.963690673772,389.790109225595,399.087240468715,363.010663650731
"ITBA022218",390.185555079069,56.4592240037741,180.711437299424,916.92512953427,243.53890594706,697.585078431544,712.878569558058,180.711437299424,1243.72637401205,56.6827258063303,0,243.372558336799,0,243.53890594706,390.185555079069,0,121.903665249989,0,0,0.0210036096935447,410.515608176506,376.848279602688,72.0276256832799,72.0276256832799,72.0276256832799,72.0276256832799,70.9672219370291,72.0276256832799,70.3283548218405,72.0276256832799,72.0276256832799,72.0276256832799,152.642646519942,72.0276256832799,72.0276256832799,72.0276256832799,105.100332715171,152.642646519942,72.0276256832799,9.7915995146181,13.3567980118287,9.7915995146181,410.515608176506,389.790109225595,410.515608176506,410.515608176506,389.790109225595,410.515608176506,389.790109225595,398.963690673772,399.087240468715,363.010663650731,389.790109225595,398.963690673772,398.963690673772,398.963690673772,389.790109225595,399.087240468715,363.010663650731
"ITBA062301",390.206558688763,56.4382203940805,180.690433689731,916.946133143964,243.559909556753,697.606082041238,712.899573167751,180.690433689731,1243.74737762175,56.6617221966367,0.0210036096935447,243.393561946492,0.0210036096935447,243.559909556753,390.206558688763,0.0210036096935447,121.882661640296,0.0210036096935447,0.0210036096935447,0,410.494604566813,376.827275992994,72.0486292929735,72.0486292929735,72.0486292929735,72.0486292929735,70.9462183273356,72.0486292929735,70.307351212147,72.0486292929735,72.0486292929735,72.0486292929735,152.621642910249,72.0486292929735,72.0486292929735,72.0486292929735,105.121336324864,152.621642910249,72.0486292929735,9.77059590492456,13.3357944021352,9.77059590492456,410.494604566813,389.769105615902,410.494604566813,410.494604566813,389.769105615902,410.494604566813,389.769105615902,398.942687064078,399.066236859022,362.989660041037,389.769105615902,398.942687064078,398.942687064078,398.942687064078,389.769105615902,399.066236859022,362.989660041037
