"","ITBO062202","GRTH052302","ITSA052303","CZKA052301","ITMA052208","HUMV062350","HUSZ062201","ITSA052302","PLRA082254","GRTH052303","ITBA022201","ITMA052213","ITBA022222","ITMA052201","ITBO062201","ITBA022210","ITLE042301","ITBA022213","ITBA022218","ITBA062301","ESAN032208","PTOD042301","ESCT062211","ESCT052302","ESCT062217","ESCT062219","ESMD052202","ESCT052202","ESMD052201","ESCT062216","ESCT062224","ESCT062226","ESMA052301","ESCT062221","ESCT052307","ESCT052309","ESCT052207","ESMA052302","ESCT062210","ESSA052201","ESSA062301","ESSA052202","ESAN032210","ESAN032214","ESAN032203","ESAN032205","ESAN032212","ESAN032201","ESAN032215","ESAN032226","ESAN042318","ESAN042303","ESAN032216","ESAN032227","ESAN032222","ESAN032225","ESAN032219","ESAN042315","ESAN042310"
"ITBA022201",446.556567490844,514.950356193625,662.350166904646,37.7611418521567,291.023934388594,150.822576656517,129.29774500692,662.350166904646,284.912957906905,513.590935929275,0,286.279983680469,0,291.023934388594,446.556567490844,0,97.4680212803496,0,0,0.0437955651261876,1966.65094082708,2173.59884193358,1373.39693496059,1373.39693496059,1373.39693496059,1373.39693496059,1745.84434064638,1373.39693496059,1734.85275694805,1373.39693496059,1373.39693496059,1373.39693496059,1212.43872556794,1373.39693496059,1373.39693496059,1373.39693496059,1275.72837692632,1212.43872556794,1373.39693496059,1861.04037400176,1867.50255462194,1861.04037400176,1966.65094082708,1892.53968910294,1966.65094082708,1966.65094082708,1892.53968910294,1966.65094082708,1892.53968910294,2001.91190685476,2001.83208875848,1861.88529570083,1892.53968910294,2001.91190685476,2001.91190685476,2001.91190685476,1892.53968910294,2001.83208875848,1861.88529570083
"ITMA052213",160.362606261296,793.795006548224,361.602756544544,303.944682825583,4.66442903620014,419.673355953713,398.216767704999,361.602756544544,538.77431496696,792.463058445873,286.279983680469,0,286.279983680469,4.66442903620014,160.362606261296,286.279983680469,384.605502796296,286.279983680469,286.279983680469,286.323469987701,1641.18573328708,1845.35024085913,1065.23633370917,1065.23633370917,1065.23633370917,1065.23633370917,1429.1026673115,1065.23633370917,1418.30382597321,1065.23633370917,1065.23633370917,1065.23633370917,903.177453009204,1065.23633370917,1065.23633370917,1065.23633370917,969.793168014031,903.177453009204,1065.23633370917,1543.32450503817,1549.62333582074,1543.32450503817,1641.18573328708,1568.55077476067,1641.18573328708,1641.18573328708,1568.55077476067,1641.18573328708,1568.55077476067,1676.05976897732,1675.97940573861,1538.78239798184,1568.55077476067,1676.05976897732,1676.05976897732,1676.05976897732,1568.55077476067,1675.97940573861,1538.78239798184
"ITBA022222",446.556567490844,514.950356193625,662.350166904646,37.7611418521567,291.023934388594,150.822576656517,129.29774500692,662.350166904646,284.912957906905,513.590935929275,0,286.279983680469,0,291.023934388594,446.556567490844,0,97.4680212803496,0,0,0.0437955651261876,1966.65094082708,2173.59884193358,1373.39693496059,1373.39693496059,1373.39693496059,1373.39693496059,1745.84434064638,1373.39693496059,1734.85275694805,1373.39693496059,1373.39693496059,1373.39693496059,1212.43872556794,1373.39693496059,1373.39693496059,1373.39693496059,1275.72837692632,1212.43872556794,1373.39693496059,1861.04037400176,1867.50255462194,1861.04037400176,1966.65094082708,1892.53968910294,1966.65094082708,1966.65094082708,1892.53968910294,1966.65094082708,1892.53968910294,2001.91190685476,2001.83208875848,1861.88529570083,1892.53968910294,2001.91190685476,2001.91190685476,2001.91190685476,1892.53968910294,2001.83208875848,1861.88529570083
"ITMA052201",155.746998724511,798.552031709844,356.7908338447,308.366747926108,0,424.173001339822,402.711220462229,356.7908338447,543.072710043623,797.220174501656,291.023934388594,4.66442903620014,291.023934388594,0,155.746998724511,291.023934388594,389.389255239703,291.023934388594,291.023934388594,291.067427273802,1636.28433583292,1840.45743048877,1060.50063178328,1060.50063178328,1060.50063178328,1060.50063178328,1424.31479275977,1060.50063178328,1413.51628992816,1060.50063178328,1060.50063178328,1060.50063178328,898.368591670862,1060.50063178328,1060.50063178328,1060.50063178328,965.06978018945,898.368591670862,1060.50063178328,1538.55567170534,1544.8532378361,1538.55567170534,1636.28433583292,1563.65686472374,1636.28433583292,1636.28433583292,1563.65686472374,1636.28433583292,1563.65686472374,1671.16170696097,1671.08130479095,1533.89747450311,1563.65686472374,1671.16170696097,1671.16170696097,1671.16170696097,1563.65686472374,1671.08130479095,1533.89747450311
"ITBO062201",0,949.488970355703,192.507607793405,452.251871365991,155.746998724511,569.525779518225,548.117054300352,192.507607793405,679.677891448216,948.173800696463,446.556567490844,160.362606261296,446.556567490844,155.746998724511,0,446.556567490844,545.365946167743,446.556567490844,446.556567490844,446.599856690685,1456.97963594625,1659.4254070869,891.511424153268,891.511424153268,891.511424153268,891.511424153268,1250.1564376862,891.511424153268,1239.47569266713,891.511424153268,891.511424153268,891.511424153268,728.847150371033,891.511424153268,891.511424153268,891.511424153268,797.422858579922,728.847150371033,891.511424153268,1363.7622519703,1369.96191209768,1363.7622519703,1456.97963594625,1385.24589117673,1456.97963594625,1456.97963594625,1385.24589117673,1456.97963594625,1385.24589117673,1491.61287528411,1491.53221047679,1356.01438037752,1385.24589117673,1491.61287528411,1491.61287528411,1491.61287528411,1385.24589117673,1491.53221047679,1356.01438037752
"ITBA022210",446.556567490844,514.950356193625,662.350166904646,37.7611418521567,291.023934388594,150.822576656517,129.29774500692,662.350166904646,284.912957906905,513.590935929275,0,286.279983680469,0,291.023934388594,446.556567490844,0,97.4680212803496,0,0,0.0437955651261876,1966.65094082708,2173.59884193358,1373.39693496059,1373.39693496059,1373.39693496059,1373.39693496059,1745.84434064638,1373.39693496059,1734.85275694805,1373.39693496059,1373.39693496059,1373.39693496059,1212.43872556794,1373.39693496059,1373.39693496059,1373.39693496059,1275.72837692632,1212.43872556794,1373.39693496059,1861.04037400176,1867.50255462194,1861.04037400176,1966.65094082708,1892.53968910294,1966.65094082708,1966.65094082708,1892.53968910294,1966.65094082708,1892.53968910294,2001.91190685476,2001.83208875848,1861.88529570083,1892.53968910294,2001.91190685476,2001.91190685476,2001.91190685476,1892.53968910294,2001.83208875848,1861.88529570083
"ITLE042301",545.365946167743,421.341849638151,766.319280008163,53.108654385287,389.389255239703,59.4503585625489,37.8355011912854,766.319280008163,198.89321666862,419.96966685418,97.4680212803496,384.605502796296,97.4680212803496,389.389255239703,545.365946167743,97.4680212803496,0,97.4680212803496,97.4680212803496,97.4240001351208,2082.00328936728,2290.43615253021,1481.90064224396,1481.90064224396,1481.90064224396,1481.90064224396,1858.07334909861,1481.90064224396,1846.98904432862,1481.90064224396,1481.90064224396,1481.90064224396,1320.69826723945,1481.90064224396,1481.90064224396,1481.90064224396,1383.25230052143,1320.69826723945,1481.90064224396,1973.96419706117,1980.4943129934,1973.96419706117,2082.00328936728,2007.23597681436,2082.00328936728,2082.00328936728,2007.23597681436,2082.00328936728,2007.23597681436,2117.49406605453,2117.41409512253,1976.2368314866,2007.23597681436,2117.49406605453,2117.49406605453,2117.49406605453,2007.23597681436,2117.41409512253,1976.2368314866
"ITBA022213",446.556567490844,514.950356193625,662.350166904646,37.7611418521567,291.023934388594,150.822576656517,129.29774500692,662.350166904646,284.912957906905,513.590935929275,0,286.279983680469,0,291.023934388594,446.556567490844,0,97.4680212803496,0,0,0.0437955651261876,1966.65094082708,2173.59884193358,1373.39693496059,1373.39693496059,1373.39693496059,1373.39693496059,1745.84434064638,1373.39693496059,1734.85275694805,1373.39693496059,1373.39693496059,1373.39693496059,1212.43872556794,1373.39693496059,1373.39693496059,1373.39693496059,1275.72837692632,1212.43872556794,1373.39693496059,1861.04037400176,1867.50255462194,1861.04037400176,1966.65094082708,1892.53968910294,1966.65094082708,1966.65094082708,1892.53968910294,1966.65094082708,1892.53968910294,2001.91190685476,2001.83208875848,1861.88529570083,1892.53968910294,2001.91190685476,2001.91190685476,2001.91190685476,1892.53968910294,2001.83208875848,1861.88529570083
"ITBA022218",446.556567490844,514.950356193625,662.350166904646,37.7611418521567,291.023934388594,150.822576656517,129.29774500692,662.350166904646,284.912957906905,513.590935929275,0,286.279983680469,0,291.023934388594,446.556567490844,0,97.4680212803496,0,0,0.0437955651261876,1966.65094082708,2173.59884193358,1373.39693496059,1373.39693496059,1373.39693496059,1373.39693496059,1745.84434064638,1373.39693496059,1734.85275694805,1373.39693496059,1373.39693496059,1373.39693496059,1212.43872556794,1373.39693496059,1373.39693496059,1373.39693496059,1275.72837692632,1212.43872556794,1373.39693496059,1861.04037400176,1867.50255462194,1861.04037400176,1966.65094082708,1892.53968910294,1966.65094082708,1966.65094082708,1892.53968910294,1966.65094082708,1892.53968910294,2001.91190685476,2001.83208875848,1861.88529570083,1892.53968910294,2001.91190685476,2001.91190685476,2001.91190685476,1892.53968910294,2001.83208875848,1861.88529570083
"ITBA062301",446.599856690685,514.907124539398,662.395422477786,37.7202637114168,291.067427273802,150.781174743028,129.256357713589,662.395422477786,284.873583932883,513.547701650197,0.0437955651261876,286.323469987701,0.0437955651261876,291.067427273802,446.599856690685,0.0437955651261876,97.4240001351208,0.0437955651261876,0.0437955651261876,0,1966.69858562199,2173.64668359697,1373.44250789304,1373.44250789304,1373.44250789304,1373.44250789304,1745.89082535736,1373.44250789304,1734.89922441138,1373.44250789304,1373.44250789304,1373.44250789304,1212.48467309577,1373.44250789304,1373.44250789304,1373.44250789304,1275.773718042,1212.48467309577,1373.44250789304,1861.08686553691,1867.54906456243,1861.08686553691,1966.69858562199,1892.5871829794,1966.69858562199,1966.69858562199,1892.5871829794,1966.69858562199,1892.5871829794,2001.95957074542,2001.87975284453,1861.9326816372,1892.5871829794,2001.95957074542,2001.95957074542,2001.95957074542,1892.5871829794,2001.87975284453,1861.9326816372
