"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"CZUH042202",-732.955425444069,-31.6495148883719,-8.74580013723139,-98.1615487929163,-50.1306085151398,19.9114572746081,-7.32322300253699,7.19104462083884,25.338757941485,-19.9838780423446
"CZUH042203",-732.955425444069,-31.6495148883719,-8.74580013723142,-98.1615487929163,-50.1306085151398,19.911457274608,-7.32322300253701,7.19104462083887,25.3387579414852,-19.9838780423446
"CZUH042204",-732.955425444069,-31.6495148883719,-8.7458001372314,-98.1615487929163,-50.1306085151398,19.911457274608,-7.323223002537,7.19104462083896,25.3387579414851,-19.9838780423445
"CZUH042205",-732.955425444069,-31.6495148883719,-8.74580013723136,-98.1615487929163,-50.1306085151397,19.911457274608,-7.32322300253696,7.19104462083897,25.3387579414851,-19.9838780423446
"CZUH042206",-732.955425444069,-31.6495148883719,-8.74580013723135,-98.1615487929163,-50.1306085151397,19.911457274608,-7.32322300253699,7.19104462083898,25.3387579414852,-19.9838780423445
"CZUH052301",-732.955425444069,-31.6495148883719,-8.74580013723135,-98.1615487929164,-50.1306085151396,19.911457274608,-7.3232230025369,7.19104462083901,25.3387579414851,-19.9838780423446
"CZUH052302",-732.955425444069,-31.6495148883719,-8.74580013723135,-98.1615487929163,-50.1306085151397,19.911457274608,-7.32322300253693,7.19104462083895,25.3387579414853,-19.9838780423445
"DEBD052307",-1007.93048324312,-172.828503965127,-113.833940541501,-12.8804968908092,-45.940004224014,-55.5660737859824,69.6206896439319,-32.2815567492291,114.107018273473,109.566126278171
"DEBD052318",-1007.93048324312,-172.828503965127,-113.833940541501,-12.8804968908092,-45.940004224014,-55.5660737859825,69.620689643932,-32.2815567492291,114.107018273473,109.566126278171
"DEBE032202",-1007.93048324312,-172.828503965127,-113.833940541501,-12.880496890809,-45.9400042240139,-55.5660737859825,69.6206896439319,-32.2815567492291,114.107018273473,109.566126278171
"DEBE032203",-1007.93048324312,-172.828503965127,-113.833940541501,-12.880496890809,-45.940004224014,-55.5660737859824,69.6206896439318,-32.2815567492291,114.107018273473,109.566126278171
"DEBE052301",-1007.93048324312,-172.828503965127,-113.833940541501,-12.880496890809,-45.940004224014,-55.5660737859826,69.620689643932,-32.281556749229,114.107018273472,109.566126278171
"DEBE052302",-1007.93048324312,-172.828503965127,-113.833940541501,-12.880496890809,-45.940004224014,-55.5660737859825,69.620689643932,-32.2815567492292,114.107018273472,109.566126278171
"DECO042201",-866.74001223676,-157.175944430679,-96.2584434960361,9.54012131682543,31.0985086740956,7.91838893694816,-12.8887829116367,-81.2907393555476,78.4753174495564,-18.6628009221019
"DECO042202",-866.74001223676,-157.175944430679,-96.258443496036,9.54012131682542,31.0985086740955,7.91838893694816,-12.8887829116366,-81.2907393555475,78.4753174495562,-18.662800922102
"DECO042203",-866.74001223676,-157.175944430679,-96.258443496036,9.54012131682541,31.0985086740956,7.91838893694818,-12.8887829116365,-81.2907393555477,78.4753174495562,-18.662800922102
"DECO042204",-866.74001223676,-157.175944430679,-96.258443496036,9.54012131682532,31.0985086740955,7.91838893694804,-12.888782911637,-81.2907393555473,78.4753174495562,-18.6628009221023
"DEDO072301",-908.974554646744,-159.483521157157,-99.0841805692806,2.86275247849059,22.6717398643953,-8.77835997231231,12.8631067721515,-71.4104011111091,115.943532136551,5.24172530042323
"DEDO072302",-908.974554646744,-159.483521157157,-99.0841805692807,2.86275247849058,22.6717398643952,-8.77835997231235,12.8631067721516,-71.4104011111091,115.943532136551,5.24172530042345
"DEGO062303",-905.467582070418,-153.195588004449,-102.601385936314,-16.2928329023544,-11.927680129156,-19.2824111176362,27.6486866368571,-67.8427381979883,76.0993368672566,54.750244255751
"DEHA062201",-1158.2438189154,-236.306391313981,-170.485318545525,74.1187319637507,27.0300092519536,-9.7075361897173,6.73474652271182,-95.4204520055274,131.287335767489,70.620371495278
"DEHI052201",-965.581367229112,-175.189803913816,-112.544160317246,8.41144999225538,16.0855936693692,-15.3972416021416,2.66460127539004,-107.218832614192,125.738144478779,55.64825910122
"DEHO062206",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193325,0.318429720691969,13.7033312812486,-27.0148641906256,-31.6576007369207,-27.2978301954112,14.4504546191703
"DEHO062208",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.318429720691965,13.7033312812486,-27.0148641906257,-31.6576007369207,-27.2978301954113,14.4504546191701
"DEHO062211",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.31842972069198,13.7033312812485,-27.0148641906257,-31.6576007369205,-27.2978301954114,14.4504546191704
"DEHO062214",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.318429720691958,13.7033312812485,-27.0148641906258,-31.6576007369204,-27.2978301954115,14.4504546191704
