name,global_region
HUMV062350,Northern Europe
HUSZ062201,Northern Europe
ROGT052201,Northern Europe
ROGT052209,Northern Europe
ROLV052202,Northern Europe
ROLV052206,Northern Europe
ROLV052209,Northern Europe
PTOD042301,Southern Europe
ESMD052201,Southern Europe
ESMD052202,Southern Europe
ESSA052201,Southern Europe
ESSA052202,Southern Europe
ESSA062301,Southern Europe
ESMA052301,Southern Europe
ESMA052302,Southern Europe
ESCT052202,Southern Europe
ESCT052207,Southern Europe
ESCT052302,Southern Europe
ESCT052307,Southern Europe
ESCT052309,Southern Europe
ESCT062210,Southern Europe
ESCT062211,Southern Europe
ESCT062216,Southern Europe
ESCT062217,Southern Europe
ESCT062219,Southern Europe
ESCT062221,Southern Europe
ESCT062224,Southern Europe
ESCT062226,Southern Europe
ESAN032201,Southern Europe
ESAN032203,Southern Europe
ESAN032205,Southern Europe
ESAN032208,Southern Europe
ESAN032210,Southern Europe
ESAN032212,Southern Europe
ESAN032214,Southern Europe
ESAN032215,Southern Europe
ESAN032216,Southern Europe
ESAN032219,Southern Europe
ESAN032222,Southern Europe
ESAN032225,Southern Europe
ESAN032226,Southern Europe
ESAN032227,Southern Europe
ESAN042303,Southern Europe
ESAN042310,Southern Europe
ESAN042315,Southern Europe
ESAN042318,Southern Europe
FRCL052201,Southern Europe
FRCL052202,Southern Europe
FRCL052301,Southern Europe
FRCL052302,Southern Europe
ITLI042201,Southern Europe
ITLI052301,Southern Europe
ITBZ042301,Southern Europe
ITCN042301,Southern Europe
ITCN042302,Southern Europe
ITCN052201,Southern Europe
ITCN052204,Southern Europe
ITSA052301,Southern Europe
ITSA052302,Southern Europe
ITSA052303,Southern Europe
ITBA022201,Southern Europe
ITBA022210,Southern Europe
ITBA022213,Southern Europe
ITBA022218,Southern Europe
ITBA022222,Southern Europe
ITBA062301,Southern Europe
ITLE042301,Southern Europe
ITMA052201,Southern Europe
ITMA052208,Southern Europe
ITMA052213,Southern Europe
ITBO052301,Southern Europe
ITBO052302,Southern Europe
ITBO062201,Southern Europe
ITBO062202,Southern Europe
ITBO062203,Southern Europe
GRTH052302,Southern Europe
GRTH052303,Southern Europe
GRTH052305,Southern Europe
TRSA062307,Turkey
TRSA062309,Turkey
TRSA062310,Turkey
TUR_1a,Turkey
TUR_1b,Turkey
TUR_1c,Turkey
NCSU_TR_01_01,Turkey
NCSU_TR_01_02,Turkey
NCSU_TR_01_03,Turkey
NCSU_TR_01_08,Turkey
NCSU_TR_01_10,Turkey
NCSU_TR_01_17,Turkey
NCSU_TR_01_18,Turkey
NCSU_TR_01_19,Turkey
NCSU_TR_01_20,Turkey
NCSU_TR_02_01,Turkey
NCSU_TR_02_02,Turkey
NCSU_TR_02_04,Turkey
NCSU_TR_02_09,Turkey
NCSU_TR_02_10,Turkey
NCSU_TR_02_13,Turkey
NCSU_TR_02_14,Turkey
NCSU_TR_02_16,Turkey
NCSU_TR_02_17,Turkey
NCSU_TR_02_18,Turkey
NCSU_TR_02_20,Turkey
NCSU_TR_02_21,Turkey
NCSU_TR_02_23,Turkey
NCSU_TR_03_01,Turkey
NCSU_TR_03_03,Turkey
NCSU_TR_03_11,Turkey
NCSU_TR_03_13,Turkey
NCSU_TR_03_14,Turkey
NCSU_TR_03_16,Turkey
NCSU_TR_03_17,Turkey
NCSU_TR_03_19,Turkey
NCSU_TR_03_20,Turkey
NCSU_TR_03_23,Turkey
NCSU_TR_04_01,Turkey
NCSU_TR_04_03,Turkey
NCSU_TR_04_05,Turkey
NCSU_TR_04_06,Turkey
NCSU_TR_04_08,Turkey
NCSU_TR_04_09,Turkey
NCSU_TR_04_10,Turkey
NCSU_TR_04_17,Turkey
NCSU_TR_04_19,Turkey
NCSU_TR_04_22,Turkey
NCSU_TR_04_23,Turkey
NCSU_TR_04_24,Turkey
NCSU_TR_05_01,Turkey
NCSU_TR_05_02,Turkey
NCSU_TR_05_03,Turkey
NCSU_TR_05_04,Turkey
NCSU_TR_05_05,Turkey
NCSU_TR_05_06,Turkey
NCSU_TR_05_07,Turkey
NCSU_TR_05_15,Turkey
NCSU_TR_05_20,Turkey
NCSU_TR_05_22,Turkey
NCSU_TR_06_05,Turkey
NCSU_TR_06_10,Turkey
NCSU_TR_06_12,Turkey
NCSU_TR_06_13,Turkey
NCSU_TR_06_14,Turkey
NCSU_TR_06_15,Turkey
NCSU_TR_06_16,Turkey
NCSU_TR_06_17,Turkey
RUS_C1,Russia/Central Asia
RUS_K2,Russia/Central Asia
RUS_O1a,Russia/Central Asia
RUS_O1b,Russia/Central Asia
NCSU_RU_01_21,Russia/Central Asia
NCSU_RU_01_22,Russia/Central Asia
NCSU_RU_01_23,Russia/Central Asia
NCSU_RU_01_24,Russia/Central Asia
NCSU_RU_02_06,Russia/Central Asia
NCSU_RU_02_07,Russia/Central Asia
NCSU_RU_02_08,Russia/Central Asia
NCSU_RU_02_11,Russia/Central Asia
NCSU_RU_02_15,Russia/Central Asia
NCSU_RU_02_22,Russia/Central Asia
NCSU_RU_02_24,Russia/Central Asia
NCSU_RU_03_04,Russia/Central Asia
NCSU_RU_03_15,Russia/Central Asia
NCSU_RU_03_21,Russia/Central Asia
NCSU_RU_03_22,Russia/Central Asia
NCSU_RU_04_11,Russia/Central Asia
NCSU_RU_04_12,Russia/Central Asia
NCSU_RU_04_13,Russia/Central Asia
NCSU_RU_05_08,Russia/Central Asia
NCSU_RU_05_16,Russia/Central Asia
NCSU_RU_05_19,Russia/Central Asia
NCSU_RU_05_21,Russia/Central Asia
NCSU_RU_05_23,Russia/Central Asia
NCSU_RU_06_03,Russia/Central Asia
NCSU_RU_06_04,Russia/Central Asia
NCSU_RU_06_07,Russia/Central Asia
NCSU_RU_06_08,Russia/Central Asia
NCSU_RU_06_09,Russia/Central Asia
NCSU_RU_06_11,Russia/Central Asia
KAZ_1a,Russia/Central Asia
KAZ_1b,Russia/Central Asia
KAZ_2,Russia/Central Asia
ILIL042201,Israel
ILIL042215,Israel
ILIL042254,Israel
ILIL042256,Israel
ILIL042271,Israel
ISR_103,Israel
ISR_13,Israel
ISR_15,Israel
ISR_204,Israel
ISR_205,Israel
ISR_208,Israel
ISR_214,Israel
ISR_215,Israel
ISR_216,Israel
ISR_217,Israel
ISR_218,Israel
ISR_219,Israel
ISR_30p,Israel
ISR_43,Israel
ISR_50,Israel
ISR_52,Israel
ISR_7,Israel
ISR_70,Israel
ISR_8,Israel
ISR_9,Israel
ISR_94,Israel
ISR_97,Israel
ISR_KU,Israel
NCSU_EG_02_05,Egypt
NCSU_EG_02_12,Egypt
NCSU_EG_02_19,Egypt
NCSU_EG_03_02,Egypt
NCSU_EG_03_05,Egypt
NCSU_EG_03_06,Egypt
NCSU_EG_03_07,Egypt
NCSU_EG_04_02,Egypt
NCSU_EG_04_04,Egypt
NCSU_EG_04_07,Egypt
NCSU_EG_04_14,Egypt
NCSU_EG_04_16,Egypt
NCSU_EG_04_18,Egypt
NCSU_EG_05_10,Egypt
NCSU_EG_05_11,Egypt
NCSU_EG_05_13,Egypt
NCSU_EG_05_17,Egypt
NCSU_EG_05_18,Egypt
NCSU_EG_05_24,Egypt
NCSU_EG_06_18,Egypt
NCSU_EG_07_15,Egypt
NCSU_EG_07_18,Egypt
NCSU_EG_07_21,Egypt
NCSU_EG_07_22,Egypt
NCSU_EG_07_23,Egypt
NCSU_EG_08_02,Egypt
NCSU_EG_08_03,Egypt
NCSU_EG_08_04,Egypt
NCSU_EG_08_05,Egypt
NCSU_EG_08_06,Egypt
NCSU_EG_08_07,Egypt
NCSU_EG_08_08,Egypt
NCSU_EG_08_09,Egypt
NCSU_EG_08_16,Egypt
NCSU_EG_08_19,Egypt
CHN_1-19,China
CHN_1-25,China
CHN_1-62,China
CHN_10-8,China
CHN_11-133,China
CHN_11-99,China
CHN_12-3,China
CHN_12-50,China
CHN_12-82,China
CHN_13-37,China
CHN_13-51,China
CHN_13-76,China
CHN_15-17,China
CHN_15-9,China
CHN_17-18,China
CHN_17-40,China
CHN_18-11,China
CHN_19-11,China
CHN_2-25,China
CHN_2-5,China
CHN_2-65,China
CHN_21-1,China
CHN_21-2,China
CHN_21-8,China
CHN_28-9,China
CHN_3-53,China
CHN_35-1,China
CHN_36-3,China
CHN_36-70,China
CHN_37-34,China
CHN_37-38,China
CHN_39-1,China
CHN_39-19,China
CHN_39-5,China
CHN_40-2,China
CHN_45-10,China
CHN_45-6,China
CHN_46-30,China
CHN_47-1,China
CHN_47-3,China
CHN_49-1,China
CHN_5-112,China
CHN_5-36,China
CHN_5-83,China
CHN_5-93,China
CHN_50-2,China
CHN_51-3,China
CHN_6-6,China
CHN_6-69,China
CHN_7-8,China
CHN_9-2,China
CHN_E21,China
CHN_GZ-10,China
CHN_GZ-6,China
CHN_HB-13,China
CHN_HB-21,China
CHN_HB-22,China
CHN_HB-24,China
CHN_HG-1,China
CHN_SC-12,China
CHN_SD-3,China
CHN_SD-5,China
JPN_2440813_a,Japan
JPN_2440813_aii,Japan
JPN_CHIKARA,Japan
JPN_CHI_79a,Japan
JPN_CHI_79b,Japan
JPN_MEK_13a,Japan
JPN_MEK_13b,Japan
JPN_MEK_13c,Japan
JPN_MEK_2b,Japan
JPN_MEK_2c,Japan
AUS_Australian_Isolate,Australia 
AUS_CUN3M,Australia 
AUS_FTA,Australia 
NCSU_US_00_01,United States of America
NCSU_US_00_02,United States of America
NCSU_US_00_03,United States of America
NCSU_US_00_04,United States of America
NCSU_US_00_06,United States of America
NCSU_US_00_07,United States of America
NCSU_US_00_08,United States of America
NCSU_US_00_13,United States of America
NCSU_US_00_15,United States of America
NCSU_US_00_16,United States of America
NCSU_US_00_18,United States of America
NCSU_US_00_19,United States of America
NCSU_US_00_21,United States of America
NCSU_US_00_22,United States of America
NCSU_US_06_19,United States of America
NCSU_US_06_20,United States of America
NCSU_US_06_21,United States of America
NCSU_US_06_22,United States of America
NCSU_US_06_23,United States of America
NCSU_US_06_24,United States of America
NCSU_US_07_01,United States of America
NCSU_US_07_02,United States of America
NCSU_US_07_03,United States of America
NCSU_US_07_05,United States of America
NCSU_US_07_06,United States of America
NCSU_US_07_07,United States of America
NCSU_US_07_08,United States of America
NCSU_US_07_09,United States of America
NCSU_US_07_10,United States of America
NCSU_US_08_10,United States of America
NCSU_US_08_12,United States of America
NCSU_US_08_15,United States of America
USA_2,United States of America
USA_5,United States of America
USA_6,United States of America
USA_7,United States of America
USA_85063,United States of America
USA_AK3_11,United States of America
USA_C4_6,United States of America
USA_J2_1,United States of America
USA_Ken_2_5,United States of America
USA_Ken_4_3,United States of America
ARG_3_10,Argentina
ARG_3_4,Argentina
ARG_3_5,Argentina
ARG_3_9,Argentina
ARG_4_1,Argentina
ARG_4_2,Argentina
ARG_4_6,Argentina
ARG_4_8,Argentina
