"isolate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","ID","Continent","Country","Region","Strain","Collection","Latitude","Longitude","Year.of.Collection","Pot.Field","Host","Status_world","Status_ext_eur","Status_recent_ext_eur","fs_level1","fs_level2","fs_level3","fs_level4","fs_level5","fs_level6","fs_level7","fs_level8","anc1","anc2","anc3","anc4","anc5","anc6","anc7","Mating.type"
"CHE_97266",-15.8709255228284,-3.28565104928196,4.27422853708065,4.36077389143836,-5.00020157989862,2.91420476528101,17.1117953770721,-1.08065412572216,11.110327935776,-30.8376085866689,"SRR11548201","Europe","Switzerland","Switzerland","tritici","Before 2022",46.84166667,6.96638889,"1997","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe1","old_Europe1",0.65537,0.171465,1e-05,1e-05,0.173124,1e-05,1e-05,"1_1_3"
"CHE_98013",-54.5813078359448,6.76229857772895,0.644676629125338,-4.99281680448866,-1.58065227255741,-2.58591542714382,2.59102950139944,-4.74795744449548,2.19597089938467,8.19705319332247,"SRR11548200","Europe","Switzerland","Switzerland","tritici","Before 2022",46.383333,6.233333,"1998","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.974436,1e-05,0.025514,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHE_98230",-59.8428321611691,5.87890047921893,-0.0499165531680901,-10.6229722119169,3.24511911077666,-3.91647484600069,6.48252203875488,3.39467386789949,15.9540561186753,-15.557260845265,"SRR11548199","Europe","Switzerland","Switzerland","tritici","Before 2022",47.216667,8.241944,"1998","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHE_98250",-60.8963218950509,3.65881176842961,3.07664961478516,-5.27712191167519,5.39047224744778,-11.9579443496339,10.7820338941158,-3.67596599973671,3.90247451747089,-14.5108175418963,"SRR11548198","Europe","Switzerland","Switzerland","tritici","Before 2022",47.216667,8.241944,"1998","","","Included","Included","Excluded","N_Europe","N_Europe","N_Europe","N_Europe","Europe_NE+old","old_Europe_N","old_Europe2","old_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHNY072301",-57.2549838196796,2.1365252504363,0.409422617889099,-6.14223977599658,-7.78003654206142,6.87890840248055,-4.27871224145182,-4.71146730282265,-7.30995065164004,17.9159704955325,"CHNY072301","Europe","Switzerland","Nyon","tritici","2023",46.39858333,6.23344444,"2023","Field","","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.985014,0.014936,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHST042201",-48.8658333677508,2.07949352253942,1.92040433912909,-6.63169163036645,-2.03791695464039,-5.57502557821669,14.1061516973351,4.91140430822095,0.795203636201548,-2.15718427534145,"CHST042201","Europe","Switzerland","Stäfa","tritici","2022",47.236404,8.734663,"2022","Pot","6n","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.977802,0.022148,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHTG062201",-49.242052026399,4.46689370045855,-1.70148315212957,-8.43374364401097,8.77864592306136,9.09532372604309,-7.48306554184652,1.57323570018241,3.90956099477927,-22.6740148246242,"CHTG062201","Europe","Switzerland","Thurgau","tritici","2022",47.55395789,9.226681129,"2022","Pot","4n","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHVD042201",-53.3829242168002,7.41906695540468,-0.689817221239166,-9.82477680071795,-3.68785867270629,1.65153752693713,6.65836921397652,-6.8686407770845,-6.76363481672274,-4.8463843847675,"CHVD042201","Europe","Switzerland","Begnins Vaud","tritici","2022",46.45,6.25,"2022","Field","","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHZR022201",-44.9135863900668,1.98525060812686,-4.35585657813939,-7.92734078818491,-8.95249180473082,5.3797085382547,1.56477958237818,2.69361748008972,-7.9338617114002,2.4577136471116,"CHZR022201","Europe","Switzerland","Zurich","tritici","2022",47.356058,8.59774,"2022","Pot","6n","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe1",0.915221,0.050187,1e-05,1e-05,0.033048,0.001515,1e-05,"1_1_3"
"CHZR042202",-51.1619935264893,2.24344948211791,-1.0357337034506,-11.7714593608547,2.16072559951969,0.136622325696662,5.1494369917084,0.297539752692841,-11.4869279092232,3.57356935642815,"CHZR042202","Europe","Switzerland","Zurich","tritici","2022",47.407442,8.559812,"2022","Pot","4n","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_1_3"
"CHZR042301",-61.7671422834677,7.14168592470864,-2.89133086293219,-6.13080523121165,-4.1529018171957,5.54852996088271,4.00044840062866,5.45700362584523,-10.0249392525465,11.921683430675,"CHZR042301","Europe","Switzerland","Zurich ","tritici","2023",47.353907,8.625124,"2023","Field","","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
"CHZR042302",-55.5802608608044,3.55124424897726,1.19537108440672,-1.89303382332426,-1.30954200863108,7.01745413451937,-2.86769382968689,2.94529574902907,3.20786889178217,-0.550118340174238,"CHZR042302","Europe","Switzerland","Witikon Zurich","tritici","2023",47.356058,8.59774,"2023","Pot","6n","Included","Included","Included","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe","N_Europe2",0.99994,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,"1_2_1"
